Community_ID	Members of community
298	['I35-50-59', 'I35-60-69', 'I71-60-69', 'I35-70-79', 'I71-70-79']
299	['I44-50-59', 'I44-60-69', 'I44-70-79']
300	['I70-50-59', 'I77-50-59', 'I77-60-69']
301	['I82-50-59', 'I82-60-69', 'I82-70-79']
302	['I89-50-59', 'I89-60-69', 'I89-70-79']
303	['J01-50-59', 'J32-50-59', 'J33-50-59', 'J01-60-69', 'J32-60-69', 'J33-60-69', 'J34-60-69']
304	['J98-50-59', 'J98-60-69', 'J98-70-79']
305	['K22-50-59', 'K22-60-69', 'K22-70-79']
306	['J38-50-59', 'J38-60-69', 'J38-70-79']
307	['J43-50-59', 'J96-50-59', 'J43-60-69', 'J96-60-69', 'J15-70-79', 'J43-70-79', 'J96-70-79']
308	['J84-50-59', 'J84-60-69', 'J84-70-79']
309	['K21-50-59', 'K22-50-59', 'K26-50-59', 'K22-60-69', 'K22-70-79']
310	['K42-60-69', 'K43-60-69', 'K66-60-69', 'K42-70-79', 'K43-70-79', 'K66-70-79']
311	['C48-50-59', 'K56-50-59', 'K65-50-59', 'K66-50-59']
312	['K59-30-39', 'E65-40-49', 'K59-40-49', 'L90-40-49', 'N62-40-49', 'K59-50-59', 'L90-50-59']
313	['K63-50-59', 'K65-50-59', 'D13-60-69']
314	['K90-50-59', 'K90-60-69', 'K90-70-79']
315	['M16-40-49', 'E66-50-59', 'I89-50-59', 'L30-50-59', 'M16-50-59', 'M87-50-59', 'E65-60-69', 'I89-60-69', 'K45-60-69', 'N62-60-69', 'I89-70-79']
316	['K59-60-69', 'L90-60-69', 'L90-70-79']
317	['L93-50-59', 'L93-60-69', 'M32-60-69', 'L93-70-79', 'M32-70-79']
318	['L97-50-59', 'L97-60-69', 'L97-70-79', 'L98-70-79']
319	['M17-40-49', 'M21-40-49', 'M71-40-49', 'M93-40-49', 'M94-40-49', 'M17-50-59', 'M71-50-59', 'M93-50-59', 'M94-50-59']
320	['M31-50-59', 'M31-60-69', 'M31-70-79']
321	['M32-50-59', 'M32-60-69', 'M32-70-79']
322	['M35-30-39', 'M35-40-49', 'M35-50-59', 'M35-60-69', 'M35-70-79']
323	['M81-30-39', 'M81-40-49', 'M81-50-59', 'M85-60-69']
324	['N00-50-59', 'D46-60-69', 'E53-60-69', 'F05-60-69', 'G31-60-69', 'H49-60-69', 'I10-60-69', 'I12-60-69', 'I13-60-69', 'I62-60-69', 'I99-60-69', 'J02-60-69', 'J04-60-69', 'J30-60-69', 'J41-60-69', 'J42-60-69', 'J69-60-69', 'K20-60-69', 'K73-60-69', 'K75-60-69', 'L29-60-69', 'M10-60-69', 'M40-60-69', 'M46-60-69', 'N10-60-69', 'D26-70-79', 'E24-70-79', 'L73-70-79']
325	['E10-40-49', 'E13-40-49', 'E14-40-49', 'E10-50-59', 'E11-50-59', 'E13-50-59', 'E14-50-59', 'G63-50-59', 'L03-50-59', 'N08-50-59', 'A04-60-69', 'E11-60-69', 'E13-60-69', 'E16-60-69', 'F01-60-69', 'G51-60-69', 'G63-60-69', 'I79-60-69', 'L03-60-69', 'L89-60-69', 'L98-60-69', 'M86-60-69', 'N08-60-69']
326	['N28-50-59', 'N28-60-69', 'N28-70-79']
327	['N35-50-59', 'N39-50-59', 'N76-50-59', 'G83-60-69', 'N30-60-69']
328	['N73-50-59', 'N73-60-69', 'N83-60-69']
329	['N80-50-59', 'N81-50-59', 'N84-50-59', 'N85-50-59', 'N88-50-59', 'N95-50-59', 'N80-60-69']
330	['N81-50-59', 'N81-60-69']
331	['N73-50-59', 'N83-50-59', 'N73-60-69', 'N83-60-69']
332	['N84-50-59', 'N88-50-59', 'N95-50-59']
333	['C53-50-59', 'C54-50-59', 'C55-50-59', 'N95-50-59']
334	['N39-60-69', 'D72-70-79', 'N32-70-79', 'N35-70-79']
335	['B36-60-69', 'C15-60-69', 'C23-60-69', 'C32-60-69', 'C51-60-69', 'C52-60-69', 'C69-60-69', 'C76-60-69', 'D03-60-69', 'D31-60-69', 'D46-60-69', 'D59-60-69', 'D89-60-69', 'E20-60-69', 'E46-60-69', 'E53-60-69', 'E72-60-69', 'F05-60-69', 'F09-60-69', 'G12-60-69', 'G24-60-69', 'G31-60-69', 'G90-60-69', 'H01-60-69', 'H21-60-69', 'H31-60-69', 'H49-60-69', 'H57-60-69', 'I06-60-69', 'I22-60-69', 'I33-60-69', 'I81-60-69', 'J11-60-69', 'J12-60-69', 'K06-60-69', 'K14-60-69', 'K41-60-69', 'K46-60-69', 'L08-60-69', 'L24-60-69', 'L53-60-69', 'L82-60-69', 'L84-60-69', 'L85-60-69', 'M00-60-69', 'M11-60-69', 'N32-60-69', 'N36-60-69']
336	['B35-50-59', 'B35-60-69']
337	['M51-50-59', 'M96-50-59', 'A69-60-69', 'G54-60-69', 'G57-60-69', 'M96-60-69', 'G57-70-79']
338	['D12-40-49', 'D12-50-59', 'C18-60-69', 'C19-60-69', 'D12-60-69']
339	['C18-40-49', 'C18-50-59', 'C19-50-59', 'C20-50-59', 'C20-60-69']
340	['C34-60-69', 'J82-60-69', 'C34-70-79']
341	['C38-60-69']
342	['C43-60-69', 'C44-60-69', 'L57-60-69', 'C43-70-79', 'C44-70-79', 'L57-70-79']
343	['C48-60-69', 'C48-70-79', 'C56-70-79', 'C57-70-79']
344	['C38-60-69', 'C78-60-69', 'D61-60-69', 'D70-60-69', 'C80-70-79', 'D70-70-79']
345	['C53-60-69', 'C54-60-69', 'C55-60-69', 'C53-70-79', 'C54-70-79', 'C55-70-79']
346	['C48-60-69', 'C56-60-69', 'C57-60-69', 'C48-70-79', 'C56-70-79', 'C57-70-79']
347	['C64-60-69', 'C64-70-79']
348	['C71-60-69', 'D43-60-69', 'C71-70-79', 'D43-70-79']
349	['C73-40-49', 'C73-50-59', 'C73-60-69', 'C73-70-79']
350	['C38-60-69', 'C78-60-69', 'C79-60-69', 'C80-60-69', 'D61-60-69', 'D63-60-69', 'D70-60-69', 'M84-60-69', 'C23-70-79', 'C78-70-79', 'C79-70-79', 'C80-70-79', 'D48-70-79', 'D63-70-79', 'D70-70-79', 'M84-70-79']
351	['D63-50-59', 'D69-50-59', 'D70-50-59', 'D61-60-69', 'D63-60-69', 'D69-60-69', 'D70-60-69', 'D46-70-79', 'D63-70-79', 'D69-70-79']
352	['K50-60-69', 'A02-70-79', 'B34-70-79', 'D52-70-79', 'D53-70-79', 'E07-70-79', 'E46-70-79', 'E72-70-79', 'F09-70-79', 'G60-70-79', 'G70-70-79', 'G83-70-79', 'G90-70-79', 'H49-70-79', 'H61-70-79', 'I10-70-79', 'I30-70-79', 'I99-70-79', 'J02-70-79', 'J04-70-79', 'J11-70-79', 'J30-70-79', 'J41-70-79', 'K20-70-79', 'K27-70-79', 'K30-70-79', 'K46-70-79', 'K50-70-79', 'K73-70-79', 'K75-70-79', 'L08-70-79', 'L28-70-79', 'L29-70-79', 'L50-70-79', 'L82-70-79', 'L85-70-79', 'M00-70-79', 'M34-70-79', 'M40-70-79', 'M46-70-79', 'N12-70-79']
353	['D18-40-49', 'D18-50-59', 'D18-60-69', 'D18-70-79']
354	['L72-40-49', 'N92-50-59', 'D21-60-69', 'D23-60-69', 'D72-60-69', 'E65-60-69', 'K35-60-69', 'L50-60-69', 'L72-60-69', 'M84-60-69', 'N35-60-69', 'N87-60-69', 'N94-60-69']
355	['C53-60-69', 'C54-60-69', 'C55-60-69', 'D25-60-69', 'C53-70-79', 'C54-70-79', 'C55-70-79', 'K81-70-79']
356	['D35-30-39', 'D35-40-49', 'D35-50-59', 'D35-60-69', 'D35-70-79']
357	['C34-70-79']
358	['L25-60-69', 'D53-70-79', 'N39-70-79', 'N76-70-79']
359	['D61-60-69', 'D69-60-69', 'D70-60-69', 'D46-70-79', 'D61-70-79', 'D69-70-79']
360	['E21-50-59', 'E21-60-69', 'E21-70-79']
361	['D69-60-69', 'D46-70-79', 'D61-70-79', 'D69-70-79']
362	['D86-30-39', 'D86-40-49', 'D86-50-59', 'D86-60-69', 'D86-70-79']
363	['E13-60-69', 'E10-70-79', 'E13-70-79', 'E16-70-79']
364	['E14-60-69', 'E14-70-79', 'E16-70-79', 'I79-70-79', 'L03-70-79', 'M86-70-79', 'N08-70-79']
365	['D34-50-59', 'E01-50-59', 'J38-50-59', 'E01-60-69', 'E04-60-69', 'E55-60-69', 'J38-60-69', 'J38-70-79', 'L72-70-79', 'N35-70-79']
366	['E73-60-69', 'E74-60-69', 'E73-70-79', 'E74-70-79']
367	['F00-60-69', 'F01-60-69', 'F03-60-69', 'G30-60-69', 'F00-70-79', 'F05-70-79', 'G30-70-79']
368	['F01-60-69', 'F03-60-69', 'G30-60-69']
369	['H33-60-69', 'H18-70-79', 'H26-70-79', 'H33-70-79']
370	['F17-60-69', 'A04-70-79', 'A41-70-79', 'B35-70-79', 'B37-70-79', 'I77-70-79', 'J41-70-79', 'K65-70-79', 'L30-70-79']
371	['F31-20-29', 'F31-30-39', 'F31-40-49', 'F31-50-59', 'F31-60-69', 'F31-70-79']
372	['F32-60-69', 'F48-60-69', 'F19-70-79', 'F22-70-79', 'F40-70-79', 'F44-70-79', 'F48-70-79', 'F51-70-79', 'L29-70-79', 'L82-70-79']
373	['H90-50-59', 'H91-50-59', 'H93-50-59', 'H90-60-69', 'H91-60-69', 'H93-60-69', 'H91-70-79', 'H93-70-79']
374	['H10-50-59', 'F13-60-69', 'F33-60-69', 'F41-60-69', 'F43-60-69', 'F45-60-69', 'F13-70-79', 'F33-70-79', 'F41-70-79', 'F43-70-79', 'F45-70-79', 'K59-70-79']
375	['K20-40-49', 'K51-40-49', 'A49-50-59', 'K20-50-59', 'K29-50-59', 'K51-50-59', 'J37-60-69', 'K51-60-69', 'N89-60-69', 'K51-70-79']
376	['G21-60-69', 'F02-70-79', 'G20-70-79']
377	['G81-50-59', 'G40-60-69', 'G41-60-69', 'G81-60-69', 'G40-70-79', 'G41-70-79', 'G81-70-79']
378	['I72-50-59', 'I67-60-69', 'I72-60-69', 'I67-70-79']
379	['M96-50-59', 'M51-60-69', 'M96-60-69']
380	['G56-70-79', 'M15-70-79']
381	['G82-30-39', 'G82-40-49', 'G82-50-59', 'G82-60-69', 'G82-70-79']
382	['G93-60-69', 'I46-60-69', 'G93-70-79']
383	['G95-60-69', 'M48-70-79']
384	['H10-60-69', 'H11-60-69', 'H18-60-69', 'H25-60-69', 'H27-60-69', 'H34-60-69', 'H44-60-69', 'H34-70-79']
385	['H40-40-49', 'H25-50-59', 'H26-50-59', 'H40-50-59', 'H26-60-69']
386	['H34-60-69', 'H54-60-69', 'D31-70-79', 'H04-70-79', 'H11-70-79', 'H16-70-79', 'H18-70-79', 'H25-70-79', 'H26-70-79', 'H27-70-79', 'H33-70-79', 'H34-70-79', 'H35-70-79', 'H44-70-79', 'H54-70-79']
387	['H40-60-69', 'H47-60-69', 'H40-70-79', 'H47-70-79']
388	['H50-60-69', 'H52-60-69', 'H53-60-69', 'H50-70-79', 'H52-70-79', 'H53-70-79']
389	['H90-50-59', 'H91-50-59', 'H93-50-59', 'H90-60-69']
390	['I26-40-49', 'I80-40-49', 'I82-40-49', 'I26-50-59', 'I80-50-59', 'I82-50-59', 'I26-60-69', 'I80-60-69', 'I82-60-69', 'I26-70-79', 'I82-70-79']
391	['I07-40-49', 'I34-40-49', 'I07-50-59', 'I34-50-59', 'I35-50-59', 'I36-50-59', 'I07-60-69', 'I34-60-69', 'I35-60-69', 'I36-60-69']
392	['I49-40-49', 'I49-50-59', 'I49-60-69', 'I49-70-79']
393	['G46-60-69', 'I63-60-69', 'I66-60-69', 'I63-70-79']
394	['I73-30-39', 'I70-40-49', 'I73-40-49', 'M34-40-49', 'I73-50-59', 'I74-50-59', 'M34-50-59', 'I74-60-69']
395	['I84-60-69', 'K60-60-69', 'K60-70-79', 'K64-70-79']
396	['I83-40-49', 'I83-50-59']
397	['F33-50-59', 'F43-50-59', 'F50-50-59', 'F60-50-59', 'B37-60-69', 'F40-60-69', 'F50-60-69', 'F60-60-69', 'L30-60-69', 'F60-70-79']
398	['J32-60-69', 'J33-60-69', 'J34-60-69']
399	['J20-50-59', 'J20-60-69', 'J20-70-79']
400	['K42-40-49', 'K43-40-49', 'K42-50-59', 'K43-50-59', 'K42-60-69', 'K43-60-69', 'K42-70-79', 'K43-70-79']
401	['J98-50-59', 'J45-60-69', 'J98-60-69', 'J45-70-79', 'J96-70-79', 'J98-70-79']
402	['K59-30-39', 'E65-40-49', 'K59-40-49', 'L90-40-49', 'N62-40-49', 'K59-50-59', 'L90-50-59', 'K59-60-69', 'L90-60-69', 'L90-70-79']
403	['I85-60-69', 'K70-60-69', 'K72-60-69', 'K74-60-69', 'I85-70-79', 'K70-70-79', 'K74-70-79']
404	['K85-60-69', 'K86-60-69', 'K85-70-79', 'K86-70-79']
405	['L23-40-49', 'L23-50-59', 'L23-60-69', 'L23-70-79']
406	['G50-50-59', 'G50-60-69', 'E78-70-79', 'G43-70-79', 'G50-70-79', 'G51-70-79', 'G57-70-79', 'G91-70-79', 'G95-70-79', 'H10-70-79', 'H90-70-79', 'I06-70-79', 'I60-70-79', 'I99-70-79', 'M40-70-79']
407	['M06-30-39', 'M05-40-49', 'M06-40-49', 'M05-50-59', 'M06-50-59', 'M13-50-59', 'M05-60-69', 'M06-60-69', 'M13-60-69', 'M05-70-79', 'M06-70-79', 'M13-70-79']
408	['M17-70-79', 'M24-70-79', 'M65-70-79', 'M67-70-79', 'M71-70-79', 'M87-70-79', 'M94-70-79']
409	['G57-60-69', 'M20-60-69', 'M77-60-69', 'G57-70-79']
410	['M17-60-69', 'M21-60-69', 'M24-60-69', 'M67-60-69', 'M71-60-69', 'M94-60-69', 'M00-70-79', 'M17-70-79', 'M21-70-79']
411	['G95-60-69', 'M41-60-69', 'M42-60-69', 'M43-60-69', 'M48-60-69', 'M62-60-69', 'G54-70-79', 'G95-70-79', 'M41-70-79', 'M42-70-79', 'M43-70-79', 'M47-70-79', 'M48-70-79', 'M51-70-79', 'M54-70-79', 'M62-70-79', 'M93-70-79', 'M96-70-79']
412	['G95-60-69', 'M48-60-69', 'G95-70-79', 'M48-70-79']
413	['N13-60-69', 'N20-60-69', 'N13-70-79', 'N20-70-79']
414	[]
415	['C50-70-79', 'D05-70-79', 'D24-70-79', 'L90-70-79', 'N64-70-79']
416	['D17-50-59', 'N84-60-69', 'N88-60-69']
417	['C48-60-69', 'C18-70-79', 'C19-70-79', 'C20-70-79', 'C48-70-79', 'D12-70-79']
418	['C19-70-79', 'C20-70-79']
419	['C80-60-69', 'D63-60-69', 'D70-60-69', 'C23-70-79', 'C78-70-79', 'C79-70-79', 'C80-70-79', 'D48-70-79', 'D63-70-79', 'D70-70-79', 'M84-70-79']
420	['C43-70-79', 'C44-70-79', 'L57-70-79']
421	['C83-50-59', 'C85-50-59', 'C83-60-69', 'C85-60-69', 'C83-70-79', 'C85-70-79']
422	['D25-70-79', 'N81-70-79']
423	['H34-60-69', 'D31-70-79', 'H04-70-79', 'H11-70-79', 'H16-70-79', 'H25-70-79', 'H27-70-79', 'H34-70-79', 'H44-70-79']
424	['D50-70-79', 'D62-70-79', 'E61-70-79']
425	['F31-60-69', 'A49-70-79', 'E11-70-79', 'E53-70-79', 'F31-70-79', 'G51-70-79', 'I12-70-79', 'I13-70-79', 'I62-70-79', 'K72-70-79', 'N08-70-79', 'N10-70-79']
426	['E79-40-49', 'E79-50-59', 'E79-60-69', 'E79-70-79', 'M10-70-79']
427	['E88-40-49', 'E88-50-59', 'E88-60-69', 'E88-70-79']
428	['F03-70-79', 'F13-70-79', 'F20-70-79', 'F22-70-79', 'G31-70-79']
429	['H18-70-79', 'H26-70-79', 'H33-70-79']
430	['G40-70-79', 'G41-70-79', 'G81-70-79']
431	['M96-50-59', 'G95-60-69', 'M48-60-69', 'M51-60-69', 'M96-60-69', 'G54-70-79', 'G95-70-79', 'M47-70-79', 'M48-70-79', 'M51-70-79', 'M54-70-79', 'M93-70-79', 'M96-70-79']
432	['H02-60-69', 'H02-70-79', 'H18-70-79', 'H26-70-79']
433	['I21-70-79', 'I46-70-79']
434	['A49-70-79', 'I25-70-79', 'I31-70-79', 'I48-70-79', 'I50-70-79', 'I62-70-79', 'I72-70-79', 'J42-70-79', 'J81-70-79', 'M10-70-79']
435	['I07-40-49', 'I34-40-49', 'I07-50-59', 'I34-50-59', 'I35-50-59', 'I36-50-59', 'I07-60-69', 'I34-60-69', 'I35-60-69', 'I36-60-69', 'I07-70-79', 'I34-70-79', 'I36-70-79']
436	['I50-60-69', 'J81-60-69', 'I50-70-79']
437	['J44-70-79', 'J47-70-79', 'J93-70-79']
438	['K85-60-69', 'K86-60-69', 'C23-70-79', 'K80-70-79', 'K81-70-79', 'K82-70-79', 'K85-70-79', 'K86-70-79']
439	['L40-30-39', 'L40-40-49', 'L40-50-59', 'L40-60-69', 'L40-70-79']
440	['G95-60-69', 'M41-60-69', 'M43-60-69', 'M48-60-69', 'M51-60-69', 'M62-60-69', 'G54-70-79', 'G95-70-79', 'M16-70-79', 'M25-70-79', 'M41-70-79', 'M42-70-79', 'M43-70-79', 'M47-70-79', 'M48-70-79', 'M51-70-79', 'M54-70-79', 'M62-70-79', 'M87-70-79', 'M93-70-79', 'M96-70-79']
441	['M19-70-79', 'M20-70-79', 'M77-70-79']
442	['G95-60-69', 'M47-70-79', 'M48-70-79', 'M93-70-79']
443	['G35-50-59', 'G35-60-69', 'G35-70-79']
444	['D25-70-79', 'N81-70-79', 'N83-70-79', 'N84-70-79', 'N85-70-79']
