Community_ID	Members of community
68	['D25-20-29', 'N84-20-29', 'N85-20-29', 'N92-20-29']
69	['K66-20-29', 'N73-20-29', 'N80-20-29', 'N94-20-29']
70	['K66-20-29', 'N73-20-29', 'N80-20-29', 'N83-20-29', 'N94-20-29']
71	['E03-0-9', 'E03-10-19', 'D50-20-29', 'D64-20-29', 'E03-20-29', 'E03-30-39', 'E06-30-39', 'E06-40-49']
72	['D68-20-29', 'D68-30-39', 'D68-40-49']
73	['E03-0-9', 'E03-10-19', 'E03-20-29', 'E03-30-39', 'E06-30-39', 'E06-40-49']
74	['E06-10-19', 'E10-10-19', 'E14-10-19', 'E16-10-19', 'E06-20-29', 'E10-20-29', 'E14-20-29', 'E16-20-29']
75	['E11-20-29', 'E66-20-29', 'G47-20-29', 'M51-20-29', 'E65-30-39']
76	['F20-20-29', 'F25-20-29']
77	['F31-20-29', 'F31-30-39', 'F31-40-49']
78	['F32-20-29', 'F42-20-29', 'I95-20-29', 'I95-30-39', 'I95-40-49']
79	[]
80	['F70-30-39', 'F70-40-49', 'F70-50-59']
81	['F44-20-29', 'G40-20-29', 'F44-30-39', 'G40-30-39', 'F44-40-49', 'J15-40-49', 'F44-50-59']
82	['F44-10-19', 'F45-10-19', 'F45-20-29', 'F45-30-39', 'F45-40-49']
83	['F50-20-29', 'M81-20-29', 'M81-30-39', 'N91-30-39', 'M81-40-49']
84	['G43-10-19', 'G44-10-19', 'G43-20-29', 'G44-20-29']
85	['G82-20-29', 'G82-30-39', 'G82-40-49', 'G82-50-59']
86	['I26-20-29', 'I80-20-29', 'I82-20-29']
87	['I95-20-29', 'I95-30-39', 'I95-40-49', 'I95-50-59']
88	['J01-20-29', 'J32-20-29', 'J33-20-29']
89	['G35-20-29', 'H46-20-29', 'F32-30-39', 'F34-30-39', 'F48-30-39', 'G35-30-39']
90	['L20-30-39', 'L20-40-49', 'L20-50-59']
91	['K02-20-29', 'K04-20-29', 'K02-30-39']
92	['K21-10-19', 'K44-10-19', 'K25-20-29', 'K29-20-29', 'K31-20-29', 'K58-20-29', 'K63-20-29']
93	['K66-20-29', 'N73-20-29', 'N76-20-29', 'N80-20-29', 'N94-20-29']
94	['K51-20-29', 'K51-30-39', 'K51-40-49', 'K51-50-59', 'K51-60-69', 'K51-70-79']
95	['B37-10-19', 'K59-20-29', 'K59-30-39', 'K59-40-49']
96	['I84-20-29', 'K60-20-29', 'K62-20-29']
97	['K80-20-29', 'K81-20-29', 'K82-20-29', 'K83-20-29', 'K85-20-29']
98	['L93-20-29', 'M32-20-29', 'M32-30-39']
99	['M24-20-29', 'M65-20-29', 'M94-20-29']
100	['M51-20-29', 'M43-30-39', 'M48-30-39', 'M51-30-39']
101	['N10-20-29', 'N13-20-29', 'N20-20-29']
102	['C53-30-39', 'D06-30-39', 'N87-30-39']
103	['B18-20-29', 'F10-20-29', 'F11-20-29', 'F12-20-29', 'F13-20-29', 'F14-20-29', 'F19-20-29', 'B18-30-39', 'F11-30-39', 'F12-30-39', 'F13-30-39', 'F19-30-39', 'F12-40-49']
104	['B24-30-39', 'B24-40-49', 'B24-50-59']
105	['D18-30-39', 'K25-30-39', 'K26-30-39', 'K29-30-39', 'K31-30-39', 'K57-30-39', 'K58-30-39']
106	['C50-30-39', 'C78-30-39', 'C79-30-39', 'D05-30-39']
107	['C71-0-9', 'C71-10-19', 'C71-20-29', 'C71-30-39', 'D43-30-39']
108	['C73-30-39', 'E04-30-39', 'E05-30-39']
109	['C78-30-39', 'C79-30-39']
110	['D21-30-39', 'D25-30-39', 'N84-30-39', 'N85-30-39', 'N88-30-39', 'N92-30-39']
111	['D23-30-39', 'I83-30-39']
112	['D24-30-39', 'D48-30-39', 'N60-30-39']
113	['D35-30-39', 'D35-40-49', 'D35-50-59']
114	['N80-30-39', 'N84-30-39', 'N85-30-39', 'N88-30-39']
115	['D50-20-29', 'D64-20-29', 'E03-20-29', 'K51-20-29', 'D50-30-39', 'D64-30-39', 'E03-30-39', 'E06-30-39', 'K51-30-39']
116	['D86-30-39', 'D86-40-49', 'D86-50-59']
117	['E10-20-29', 'E14-20-29', 'E10-30-39', 'E11-30-39', 'E14-30-39']
118	['E73-30-39', 'E74-30-39', 'E73-40-49', 'E74-40-49']
119	['E78-30-39', 'E79-30-39', 'I21-30-39', 'I25-30-39', 'I63-30-39']
120	['F31-20-29', 'F10-30-39', 'F31-30-39', 'K70-30-39']
121	['F14-30-39', 'F11-40-49', 'F11-50-59']
122	['F17-30-39', 'J20-30-39', 'J44-30-39', 'J43-40-49', 'J44-40-49', 'J96-40-49']
123	['F33-30-39', 'F40-30-39', 'F42-30-39', 'F42-40-49', 'F42-50-59']
124	['F42-30-39', 'F42-40-49', 'F42-50-59']
125	['E87-20-29', 'E87-30-39', 'F50-30-39', 'E87-40-49']
126	['G40-40-49', 'G93-40-49', 'G41-50-59', 'G93-50-59']
127	['G43-10-19', 'G44-10-19', 'G43-20-29', 'G44-20-29', 'G43-30-39', 'G44-30-39', 'G43-40-49', 'G44-40-49', 'G45-40-49', 'H81-40-49']
128	['E66-30-39', 'G47-30-39', 'K42-30-39', 'K43-30-39', 'E65-40-49']
129	['M62-30-39']
130	['H33-30-39', 'H50-30-39', 'H52-30-39']
131	['H90-30-39', 'H93-30-39', 'H93-40-49']
132	['I10-30-39', 'I11-30-39', 'I20-30-39', 'I47-30-39', 'I63-30-39']
133	['I47-30-39', 'I47-40-49', 'I49-40-49', 'I47-50-59', 'I49-50-59']
134	['I73-30-39', 'I70-40-49', 'I73-40-49', 'M34-40-49', 'M34-50-59']
135	['I84-30-39', 'K60-30-39', 'K62-30-39']
136	['J01-30-39', 'J32-30-39', 'J33-30-39', 'J01-40-49', 'J32-40-49', 'J33-40-49']
137	['J03-30-39', 'J35-30-39', 'J36-30-39']
138	['J18-30-39', 'J96-30-39']
139	['J44-30-39', 'J45-30-39', 'J43-40-49', 'J44-40-49', 'J45-40-49', 'J96-40-49']
140	['J44-30-39', 'J43-40-49', 'J44-40-49', 'J96-40-49']
141	['K07-30-39', 'K07-40-49']
142	['K21-30-39', 'K22-30-39', 'K44-30-39', 'K21-40-49', 'K22-40-49', 'K44-40-49']
143	['K66-30-39', 'N76-30-39']
144	['N84-40-49', 'N85-40-49', 'N88-40-49', 'N95-40-49']
145	['K44-30-39', 'K44-40-49']
146	['K50-30-39', 'K56-30-39', 'K63-30-39', 'K56-40-49', 'K63-40-49', 'K65-40-49']
147	['K76-30-39', 'K76-40-49', 'N28-40-49', 'B37-50-59']
148	['K80-30-39', 'K81-30-39', 'K82-30-39', 'K83-30-39']
149	['K85-40-49', 'K86-40-49', 'K85-50-59', 'K86-50-59']
150	['L40-30-39', 'L40-40-49', 'L40-50-59']
151	['L93-30-39', 'L93-40-49', 'L93-50-59', 'L93-60-69', 'M32-60-69', 'L93-70-79', 'M32-70-79']
152	['M06-30-39', 'M05-40-49', 'M06-40-49', 'M13-50-59']
153	['M17-30-39', 'M24-30-39', 'M65-30-39', 'M67-30-39', 'M94-30-39']
