,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,PubMed count,PubMed count avg
36,2,"['A04', 'A08', 'F50']",Zotepine,0.022267413,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 0, 0]",0.0
37,3,"['H73', 'K92']",Cyclosporine,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 953]",476.5
38,3,"['H73', 'K92']",Cyanocobalamin,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 743]",371.5
39,3,"['H73', 'K92']",Cholecalciferol,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[2, 410]",206.0
40,3,"['H73', 'K92']",Fluvoxamine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 12]",6.0
41,3,"['H73', 'K92']",Bortezomib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 63]",31.5
42,3,"['H73', 'K92']",Phentermine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 10]",5.0
43,3,"['H73', 'K92']",Sildenafil,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 57]",28.5
44,3,"['H73', 'K92']",Pyrimethamine,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 34]",17.0
45,3,"['H73', 'K92']",Ticlopidine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 76]",38.0
46,3,"['H73', 'K92']",Eletriptan,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
47,3,"['H73', 'K92']",Indinavir,0.001916562,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
48,3,"['H73', 'K92']",Lovastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 253]",126.5
49,3,"['H73', 'K92']",Nevirapine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 45]",22.5
50,3,"['H73', 'K92']",Clotrimazole,0.005057747,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 26]",13.0
51,3,"['H73', 'K92']",Sulfanilamide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[6, 379]",192.5
52,3,"['H73', 'K92']",Dicoumarol,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 18]",9.0
53,3,"['H73', 'K92']",Venlafaxine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 14]",7.0
54,3,"['H73', 'K92']",Acetaminophen,0.007476881,"['disorders of tympanic membrane', 'diseases of digestive system']","[6, 1368]",687.0
55,3,"['H73', 'K92']",Gefitinib,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 26]",13.0
56,3,"['H73', 'K92']",Hydromorphone,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
57,3,"['H73', 'K92']",Omeprazole,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']",[0],0.0
58,3,"['H73', 'K92']",Terfenadine,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 24]",12.0
59,3,"['H73', 'K92']",Diltiazem,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 71]",36.0
60,3,"['H73', 'K92']",Clozapine,0.020950205,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 42]",21.0
61,3,"['H73', 'K92']",Sorafenib,0.008192668,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 192]",96.0
62,3,"['H73', 'K92']",Zolpidem,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
63,3,"['H73', 'K92']",Cerivastatin,0.001916562,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 20]",10.0
64,3,"['H73', 'K92']",Lansoprazole,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 207]",103.5
65,3,"['H73', 'K92']",Loratadine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 13]",6.5
66,3,"['H73', 'K92']",Celecoxib,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 186]",93.0
67,3,"['H73', 'K92']",Ritonavir,0.005057747,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 71]",35.5
68,3,"['H73', 'K92']",Cisplatin,0.00068761,"['disorders of tympanic membrane', 'diseases of digestive system']","[7, 846]",426.5
69,3,"['H73', 'K92']",Cyclophosphamide,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[4, 826]",415.0
70,3,"['H73', 'K92']",Vinblastine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 92]",46.0
71,3,"['H73', 'K92']",Cisapride,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 163]",81.5
72,3,"['H73', 'K92']",Amodiaquine,0.000191568,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
73,3,"['H73', 'K92']",Efavirenz,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 45]",22.5
74,3,"['H73', 'K92']",Simvastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 262]",131.0
75,3,"['H73', 'K92']",Dextropropoxyphene,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 12]",6.0
76,3,"['H73', 'K92']",Verapamil,0.022057805,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 164]",82.0
77,3,"['H73', 'K92']",Tamoxifen,0.012003584,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 315]",157.5
