,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
47,3,"['H73', 'K92']",Indinavir,0.001916562,"['disorders of tympanic membrane', 'diseases of digestive system']"
48,3,"['H73', 'K92']",Lovastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']"
49,3,"['H73', 'K92']",Nevirapine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
50,3,"['H73', 'K92']",Clotrimazole,0.005057747,"['disorders of tympanic membrane', 'diseases of digestive system']"
51,3,"['H73', 'K92']",Sulfanilamide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
52,3,"['H73', 'K92']",Dicoumarol,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
53,3,"['H73', 'K92']",Venlafaxine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
54,3,"['H73', 'K92']",Acetaminophen,0.007476881,"['disorders of tympanic membrane', 'diseases of digestive system']"
55,3,"['H73', 'K92']",Gefitinib,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
56,3,"['H73', 'K92']",Hydromorphone,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
57,3,"['H73', 'K92']",Omeprazole,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']"
58,3,"['H73', 'K92']",Terfenadine,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']"
59,3,"['H73', 'K92']",Diltiazem,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
60,3,"['H73', 'K92']",Clozapine,0.020950205,"['disorders of tympanic membrane', 'diseases of digestive system']"
61,3,"['H73', 'K92']",Sorafenib,0.008192668,"['disorders of tympanic membrane', 'diseases of digestive system']"
62,3,"['H73', 'K92']",Zolpidem,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
63,3,"['H73', 'K92']",Cerivastatin,0.001916562,"['disorders of tympanic membrane', 'diseases of digestive system']"
64,3,"['H73', 'K92']",Lansoprazole,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
65,3,"['H73', 'K92']",Loratadine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
66,3,"['H73', 'K92']",Celecoxib,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
67,3,"['H73', 'K92']",Ritonavir,0.005057747,"['disorders of tympanic membrane', 'diseases of digestive system']"
68,3,"['H73', 'K92']",Cisplatin,0.00068761,"['disorders of tympanic membrane', 'diseases of digestive system']"
69,3,"['H73', 'K92']",Cyclophosphamide,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
70,3,"['H73', 'K92']",Vinblastine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
71,3,"['H73', 'K92']",Cisapride,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
72,3,"['H73', 'K92']",Amodiaquine,0.000191568,"['disorders of tympanic membrane', 'diseases of digestive system']"
73,3,"['H73', 'K92']",Efavirenz,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
74,3,"['H73', 'K92']",Simvastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']"
75,3,"['H73', 'K92']",Dextropropoxyphene,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
76,3,"['H73', 'K92']",Verapamil,0.022057805,"['disorders of tympanic membrane', 'diseases of digestive system']"
77,3,"['H73', 'K92']",Tamoxifen,0.012003584,"['disorders of tympanic membrane', 'diseases of digestive system']"
78,3,"['H73', 'K92']",Thioridazine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
79,3,"['H73', 'K92']",Warfarin,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
80,3,"['H73', 'K92']",Amprenavir,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
81,3,"['H73', 'K92']",Methazolamide,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
82,3,"['H73', 'K92']",Delavirdine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
83,3,"['H73', 'K92']",Paroxetine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
84,3,"['H73', 'K92']",Carbinoxamine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
85,3,"['H73', 'K92']",Tranylcypromine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
86,3,"['H73', 'K92']",Dolasetron,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']"
87,3,"['H73', 'K92']",Methimazole,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
