,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
0,157,Pipamperone,"['N80', 'N84', 'N85', 'N88', 'N92']","['endometriosis', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'excessive, frequent and irregular menstruation']","[0, 0, 0, 0, 0]",0.0
1,335,Aceclofenac,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 2, 4, 0, 0]",0.6666666666666666
2,436,Nylidrin,"['I50', 'J81']","['heart failure', 'pulmonary oedema']","[0, 1]",0.5
3,324,Silodosin,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 0, 0, 1, 0, 0, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1.6666666666666667
4,65_103,Prucalopride,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 0, 0, 1, 0]",0.2
5,43,Chlorphenesin,"['E87', 'F10', 'F12']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids']","[0, 0]",0.0
6,120,Flunarizine,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[5, 11, 1]",5.666666666666667
7,44,Liotrix,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 0, 0]",0.0
8,253_254_345,Dipyrithione,"['C53', 'C54', 'C55']","['malignant neoplasm of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part']","[0, 0, 0]",0.0
9,382,Dalteparin,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']","[10, 4]",7.0
