,Trajectory,Disease list,Drug Indications
30,102,"{'I85', 'K74'}","{'Vasopressin': 3, 'Tauroursodeoxycholic acid': 1}"
31,103,"{'K80', 'K81'}","{'Isopropamide': 2, 'Technetium Tc-99m disofenin': 3, 'Anethole trithione': 2}"
32,108,"{'N19', 'I70'}","{'Calcitriol': 1, 'Calcidiol': 1, 'Cholecalciferol': 1, 'Mannitol': 1, 'Dopamine': 1, 'Dalteparin': 1, 'Lovastatin': 2, 'Clopidogrel': 2, 'Fluvastatin': 2, 'Rosuvastatin': 2, 'Bezafibrate': 2, 'Tocopherol': 2}"
33,118,"{'F05', 'H10', 'F10'}","{'Thiamine': 1, 'Haloperidol': 1, 'Ergoloid mesylate': 1, 'Moxifloxacin': 2, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 2, 'Triprolidine': 2, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Prednisone': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 2, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1}"
34,119,"{'E53', 'H10', 'F10'}","{'Oxymetholone': 1, 'Moxifloxacin': 2, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 2, 'Triprolidine': 2, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Prednisone': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 2, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1}"
35,122_194,"{'H36', 'E10'}","{'Ripasudil': 1, 'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2}"
36,123,"{'M86', 'H40', 'N48', 'H26', 'E11'}","{'Ertapenem': 2, 'Clindamycin': 2, 'Technetium Tc-99m oxidronate': 2, 'Fluoride ion F-18': 2, 'Besilesomab': 2, 'Travoprost': 2, 'Mitomycin': 2, 'Timolol': 2, 'Carbachol': 2, 'Dipivefrin': 2, 'Brimonidine': 2, 'Carteolol': 2, 'Clonidine': 2, 'Latanoprost': 2, 'Isoflurophate': 2, 'Methazolamide': 2, 'Acetazolamide': 2, 'Dorzolamide': 2, 'Bimatoprost': 2, 'Demecarium': 2, 'Apraclonidine': 2, 'Physostigmine': 2, 'Echothiophate': 2, 'Diclofenamide': 2, 'Brinzolamide': 2, 'Levobunolol': 2, 'Metipranolol': 2, 'Ginkgo biloba': 2, 'Unoprostone': 2, 'Bupranolol': 2, 'Hyaluronic acid': 3, 'Tafluprost': 2, 'Moxisylyte': 2, 'Levobetaxolol': 2, 'Latanoprostene Bunod': 2, 'Ripasudil': 2, 'Netarsudil': 2, 'Phenylpropanolamine': 1, 'Pseudoephedrine': 1, 'Ancrod': 1, 'Vitamin E': 1, 'Bromfenac': 1, 'Acetylcholine': 1, 'Nepafenac': 1, 'D-alpha-Tocopherol acetate': 1, 'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2}"
37,125,"{'K59', 'K51', 'K29', 'K58'}","{'Tramadol': 1, 'Lactulose': 1, 'Lubiprostone': 3, 'Tegaserod': 3, 'Magnesium oxide': 1, 'Prucalopride': 1, 'Methylnaltrexone': 1, 'Linaclotide': 3, 'Naloxegol': 1, 'Potassium alum': 1, 'Magnesium hydroxide': 1, 'Bisoxatin': 1, 'Polyethylene glycol': 1, 'Polycarbophil': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium phosphate': 1, 'Docusate': 1, 'Plantago seed': 5, 'Magnesium citrate': 1, 'Methyl cellulose': 3, 'Sennosides': 1, 'Naldemedine': 1, 'Galactose': 1, 'Infliximab': 2, 'Hydrocortisone': 2, 'Prednisolone': 2, 'Balsalazide': 2, 'Budesonide': 2, 'Olsalazine': 2, 'Difenoxin': 2, 'Golimumab': 2, 'Tofacitinib': 2, 'Tixocortol': 2, 'Kappadione': 2, 'Isopropamide': 1, 'Bismuth Subcitrate': 1, 'Amitriptyline': 2, 'Hyoscyamine': 2, 'Scopolamine': 2, 'Clidinium': 2, 'Dicyclomine': 2, 'Methantheline': 2, 'Alosetron': 2, 'Rifaximin': 2, 'Alverine': 2, 'Trimebutine': 2, 'Pinaverium': 2, 'Eluxadoline': 2, 'Ramosetron': 2, 'Peppermint oil': 2}"
38,126,"{'G35', 'H81', 'E87'}","{'Immune Globulin Human': 2, 'Interferon beta-1a': 2, 'Interferon beta-1b': 2, 'Natalizumab': 2, 'Baclofen': 2, 'Prednisone': 2, 'Mitoxantrone': 2, 'Glatiramer': 2, 'Ibudilast': 2, 'Tolperisone': 2, 'Dalfampridine': 2, 'Fingolimod': 2, 'Teriflunomide': 2, 'Dimethyl fumarate': 2, 'Cannabidiol': 2, 'Peginterferon beta-1a': 2, 'Ocrelizumab': 2, 'Mephenesin': 2, 'Nabiximols': 2, 'Cinnarizine': 1, 'Diphenhydramine': 1, 'Diphenidol': 1, 'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1}"
39,129,"{'J15', 'J20', 'F17'}","{'Telavancin': 1, 'Cefixime': 2, 'Dirithromycin': 2, 'Telithromycin': 2, 'Pivampicillin': 2, 'Etafedrine': 2, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1}"
40,131,"{'F43', 'F11', 'F13'}","{'Imipramine': 1, 'Sertraline': 1, 'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Molindone': 2, 'Aripiprazole lauroxil': 2}"
41,133,"{'G41', 'G40'}","{'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2}"
42,136,"{'H36', 'H26'}","{'Ripasudil': 1, 'Vitamin E': 1, 'Bromfenac': 1, 'Acetylcholine': 1, 'Nepafenac': 1, 'Hyaluronic acid': 1, 'D-alpha-Tocopherol acetate': 1}"
43,140,"{'I20', 'I21'}","{'Bivalirudin': 1, 'Abciximab': 1, 'Metoprolol': 4, 'Atenolol': 2, 'Lercanidipine': 2, 'Labetalol': 2, 'Bisoprolol': 2, 'Isosorbide Dinitrate': 2, 'Acetylsalicylic acid': 3, 'Isosorbide Mononitrate': 2, 'Perhexiline': 2, 'Heparin': 1, 'Nadolol': 2, 'Enoxaparin': 1, 'Bevantolol': 2, 'Oxprenolol': 2, 'Amyl Nitrite': 2, 'Celiprolol': 2, 'Pentaerythritol Tetranitrate': 2, 'Prasugrel': 1, 'Dalteparin': 1, 'Nadroparin': 1, 'Trimetazidine': 2, 'Nicorandil': 2, 'Aranidipine': 2, 'Benidipine': 2, 'Alteplase': 2, 'Eplerenone': 2, 'Ridogrel': 2, 'Technetium Tc-99m pyrophosphate': 2}"
44,144,"{'I73', 'I74'}","{'Lercanidipine': 1, 'Enprofylline': 1, 'Ginkgo biloba': 1, 'Sutilain': 1, 'Warfarin': 2}"
45,147,"{'J15', 'J96'}","{'Telavancin': 1, 'Nitric Oxide': 1}"
46,151,"{'K21', 'K25', 'K26', 'K20'}","{'Bismuth Subcitrate': 2, 'Omeprazole': 4, 'Sucralfate': 4, 'Nizatidine': 4, 'Pirenzepine': 4, 'Homatropine Methylbromide': 4, 'Roxatidine acetate': 4, 'Metronidazole': 2, 'Clarithromycin': 2, 'Almasilate': 2, 'Ecabet': 2, 'Alginic acid': 2}"
47,152,"{'K21', 'K25', 'K26'}","{'Bismuth Subcitrate': 2, 'Omeprazole': 4, 'Sucralfate': 4, 'Nizatidine': 4, 'Pirenzepine': 4, 'Homatropine Methylbromide': 4, 'Roxatidine acetate': 4, 'Metronidazole': 2, 'Clarithromycin': 2, 'Almasilate': 2}"
48,157_240,"{'K80', 'K83', 'K81'}","{'Isopropamide': 2, 'Obeticholic acid': 1, 'Technetium Tc-99m disofenin': 3, 'Anethole trithione': 2}"
49,163,"{'M25', 'M87'}","{'Loxoprofen': 1, 'Fluoride ion F-18': 2}"
50,168,"{'N25', 'B99', 'N18', 'N05', 'N03'}","{'Calcitriol': 3, 'Calcidiol': 3, 'Ergocalciferol': 1, 'Cholecalciferol': 3, 'Dihydrotachysterol': 1, 'Diphenidol': 1, 'L-Carnitine': 1, 'Icodextrin': 1, 'Cetuximab': 2, 'Peginterferon alfa-2a': 2, 'Erythropoietin': 2, 'Salmon Calcitonin': 2, 'Pegfilgrastim': 2, 'Peginterferon alfa-2b': 2, 'Asparaginase Escherichia coli': 2, 'Oprelvekin': 2, 'Palifermin': 2, 'Rasburicase': 2, 'Gemtuzumab ozogamicin': 2, 'Infliximab': 2, 'Hyaluronidase': 2, 'Pancrelipase': 2, 'Efalizumab': 2, 'Filgrastim': 2, 'Octreotide': 2, 'Esmolol': 2, 'Ethchlorvynol': 2, 'Hydroxocobalamin': 2, 'Ticlopidine': 2, 'Torasemide': 2, 'Nelfinavir': 2, 'Methyclothiazide': 2, 'Nevirapine': 2, 'Cabergoline': 2, 'Lymecycline': 2, 'Cycloserine': 2, 'Sulfisoxazole': 2, 'Theophylline': 2, 'Travoprost': 2, 'Atomoxetine': 2, 'Tenofovir disoproxil': 2, 'Bexarotene': 2, 'Chlorthalidone': 2, 'Capreomycin': 2, 'Gefitinib': 2, 'Amitriptyline': 2, 'Floxuridine': 2, 'Tolcapone': 2, 'Omeprazole': 2, 'Pyrazinamide': 2, 'Trimethadione': 2, 'Megestrol acetate': 2, 'Buclizine': 2, 'Vinorelbine': 2, 'Anidulafungin': 2, 'Doxylamine': 2, 'Levonorgestrel': 2, 'Palonosetron': 2, 'Griseofulvin': 2, 'Nisoldipine': 2, 'Ampicillin': 2, 'Methylphenidate': 2, 'Methocarbamol': 2, 'Triprolidine': 2, 'Carboprost Tromethamine': 2, 'Lindane': 2, 'Allopurinol': 2, 'Cerivastatin': 2, 'Trimethoprim': 2, 'Dronabinol': 2, 'Nabilone': 2, 'Zidovudine': 2, 'Haloperidol': 2, 'Ritonavir': 2, 'Caspofungin': 2, 'Metolazone': 2, 'Tolnaftate': 2, 'Erlotinib': 2, 'Lamotrigine': 2, 'Methotrexate': 2, 'Cinnarizine': 2, 'Amiloride': 2, 'Labetalol': 2, 'Thiopental': 2, 'Cyclothiazide': 2, 'Ethionamide': 2, 'Paramethadione': 2, 'Demeclocycline': 2, 'Bacitracin': 2, 'Prednisone': 2, 'Pemetrexed': 2, 'Dyclonine': 2, 'Flumethasone': 2, 'Aprepitant': 2, 'Isoflurophate': 2, 'Phentolamine': 2, 'Furosemide': 2, 'Amprenavir': 2, 'Gadobenic acid': 2, 'Tretinoin': 2, 'Hexachlorophene': 2, 'Dolasetron': 2, 'Etoposide': 2, 'Hydroflumethiazide': 2, 'Oxcarbazepine': 2, 'Phenelzine': 2, 'Indapamide': 2, 'Ribavirin': 2, 'Dacarbazine': 2, 'Pseudoephedrine': 2, 'Chlorphenesin': 2, 'Eprosartan': 2, 'Emtricitabine': 2, 'Chlorothiazide': 2, 'Didanosine': 2, 'Ondansetron': 2, 'Bimatoprost': 2, 'Dinoprostone': 2, 'Misoprostol': 2, 'Zalcitabine': 2, 'Hydrocodone': 2, 'Carboplatin': 2, 'Telmisartan': 2, 'Dactinomycin': 2, 'Neomycin': 2, 'Doxorubicin': 2, 'Salbutamol': 2, 'Guanfacine': 2, 'Ethinamate': 2, 'Selegiline': 2, 'Hydroxystilbamidine Isethionate': 2, 'Melphalan': 2, 'Abacavir': 2, 'Novobiocin': 2, 'Melatonin': 2, 'Atazanavir': 2, 'Vigabatrin': 2, 'Streptomycin': 2, 'Hesperetin': 2, 'Rosuvastatin': 2, 'Capecitabine': 2, 'Amiodarone': 2, 'Proguanil': 2, 'Micafungin': 2, 'Procarbazine': 2, 'Cyclizine': 2, 'Ifosfamide': 2, 'Clindamycin': 2, 'Flecainide': 4, 'Captopril': 2, 'Bromocriptine': 2, 'Lomustine': 2, 'Clarithromycin': 2, 'Ketamine': 2, 'Budesonide': 2, 'Bromodiphenhydramine': 2, 'Isocarboxazid': 2, 'Docetaxel': 2, 'Posaconazole': 2, 'Darunavir': 2, 'Panitumumab': 2, 'Mecasermin': 2, 'Nelarabine': 2, 'Abatacept': 2, 'Bismuth Subsalicylate': 2, 'Fosamprenavir': 2, 'Potassium': 2, 'Hexobarbital': 2, 'Penbutolol': 2, 'Iohexol': 2, 'Rasagiline': 2, 'Oxybenzone': 2, 'Antipyrine': 2, 'Phenazopyridine': 2, 'Fencamfamine': 2, 'Flunitrazepam': 2, 'Liotrix': 2, 'Lopinavir': 2, 'Meticillin': 2, 'Phenindamine': 2, 'Acetylcholine': 2, 'Propanoic acid': 2, 'Thiotepa': 2, 'Suramin': 2, 'Tetrabenazine': 2, 'Ixabepilone': 2, 'Defibrotide': 2, 'Tamibarotene': 2, 'Trabectedin': 4, 'Methsuximide': 2, 'Natural alpha interferon': 2, 'Iodine': 2, 'Tetrachlorodecaoxide': 2, 'Mipomersen': 2, 'Ramucirumab': 2, 'Sodium stibogluconate': 2, 'Ustekinumab': 2, 'Thrombomodulin Alfa': 2, 'Inotuzumab ozogamicin': 2, 'Obeticholic acid': 2, 'Olaratumab': 2, 'Lasofoxifene': 2, 'Hyaluronidase (Human Recombinant)': 2, 'Asenapine': 2, 'Droxidopa': 2, 'Temsirolimus': 2, 'Saxagliptin': 2, 'Pertuzumab': 2, 'Oxymetholone': 2, 'Etravirine': 2, 'Pazopanib': 2, 'Safinamide': 2, 'Sipuleucel-T': 2, 'Dexmethylphenidate': 2, 'Potassium Iodide': 2, 'Fosaprepitant': 2, 'Beta carotene': 2, 'Fomivirsen': 2, 'Dalteparin': 2, 'Hexocyclium': 2, 'Nonoxynol-9': 2, 'Raltegravir': 2, 'Unoprostone': 2, 'Diloxanide': 2, 'Azidocillin': 2, 'Chloropyramine': 2, 'Dimetindene': 2, 'Triflusal': 2, 'Hyaluronic acid': 2, 'Ivacaftor': 2, 'Acetylcarnitine': 2, 'Rilpivirine': 2, 'Brentuximab vedotin': 2, 'Eribulin': 2, 'Asparaginase Erwinia chrysanthemi': 2, 'Tofacitinib': 2, 'Regorafenib': 2, 'Afatinib': 2, 'Dolutegravir': 2, 'Riociguat': 2, 'Sofosbuvir': 2, 'Secukinumab': 2, 'Nivolumab': 2, 'Pembrolizumab': 2, 'Netupitant': 2, 'Idelalisib': 2, 'Cannabidiol': 2, 'Cobicistat': 2, 'Olaparib': 2, 'Dinutuximab': 2, 'Benzoyl peroxide': 2, 'Somatostatin': 2, 'Elvitegravir': 2, 'Ancestim': 2, 'Hydroxyethyl Starch': 2, 'Aurothioglucose': 2, 'Oxygen': 2, 'Florbetaben (18F)': 2, 'Florbetapir (18F)': 2, 'Flutemetamol (18F)': 2, 'Carbon dioxide': 2, 'Lorpiprazole': 2, 'Moxisylyte': 2, 'Piracetam': 2, 'Dexibuprofen': 2, 'Zotepine': 2, 'Lacidipine': 2, 'Moxonidine': 2, 'Tegafur': 2, 'Strontium ranelate': 2, 'Ubidecarenone': 2, 'Rolapitant': 2, 'Sacubitril': 2, 'Zinc oxide': 2, 'Benzathine benzylpenicillin': 2, 'Kappadione': 2, 'Tipiracil': 2, 'Pramocaine': 2, 'Estrogens, esterified': 2, 'Sodium acetate': 2, 'Fluoride ion F-18': 2, 'Magnesium acetate tetrahydrate': 2, 'Monopotassium phosphate': 2, 'Xylose': 2, 'Indium In-111 chloride': 2, 'Fludeoxyglucose F-18': 2, 'Talc': 2, 'Sodium glycerophosphate': 2, 'Omega-3-carboxylic acids': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Bovine type I collagen': 2, 'Hepatitis A Vaccine': 2, 'Cetylpyridinium': 2, 'Resorcinol': 2, 'N-acetyltyrosine': 2, 'Cresol': 2, 'Bicisate': 2, 'Ferric sulfate': 2, 'Peppermint oil': 2, 'Methyl cellulose': 2, 'Thonzylamine': 2, 'Hexylresorcinol': 2, 'Levomefolic acid': 2, 'Polysilicone-15': 2, 'Ixekizumab': 2, 'Asunaprevir': 2, 'Domiphen': 2, 'Atezolizumab': 2, 'Levoleucovorin': 2, 'Normethadone': 2, 'Velpatasvir': 2, 'Hepatitis B Vaccine (Recombinant)': 2, 'Temoporfin': 2, 'Delamanid': 2, 'Vinflunine': 2, 'Durvalumab': 2, 'Galactose': 2, 'Icotinib': 2, 'Sarilumab': 2, 'Niraparib': 2, 'Baricitinib': 2, 'Ertugliflozin': 2, 'Guselkumab': 2, 'Angiotensin II': 2, 'Abemaciclib': 2, 'Stem bromelain': 2, 'Cantharidin': 2, 'Rucaparib': 2, 'Nicoboxil': 2, 'Lenograstim': 2, 'Protein S human': 2, 'Coagulation factor VII human': 2, 'Lipegfilgrastim': 2, 'Perboric acid': 2, 'Bufexamac': 2, 'Mifamurtide': 2, 'Bioallethrin': 2, 'Magnesium gluconate': 2, 'Glycyrrhizic acid': 2, 'Calcium levulinate': 2, 'Human cytomegalovirus immune globulin': 2, 'Talimogene laherparepvec': 2, 'Axicabtagene ciloleucel': 2, 'Testosterone undecanoate': 2, 'Medium-chain triglycerides': 2, 'Fish oil': 2, 'Remestemcel-L': 2, 'Besilesomab': 2, 'alpha-Tocopherol succinate': 2, 'alpha-Tocopherol acetate': 2, 'Nabiximols': 2, 'Fosnetupitant': 2, 'Human vaccinia virus immune globulin': 2}"
51,176,"{'I85', 'K74', 'B99'}","{'Vasopressin': 3, 'Tauroursodeoxycholic acid': 1, 'Diphenidol': 1}"
52,184,"{'C92', 'D46'}","{'Pipobroman': 3, 'Amsacrine': 3, 'Lipegfilgrastim': 5, 'Lenalidomide': 2, 'Decitabine': 2}"
53,186,"{'D13', 'D12'}","{'Peginterferon alfa-2a': 1, 'Pancrelipase': 1, 'Cyclosporine': 1, 'Ademetionine': 1, 'L-Cysteine': 1, 'L-Threonine': 1, 'Enflurane': 1, 'Diethylstilbestrol': 1, 'Floxuridine': 1, 'Triamterene': 1, 'Streptozocin': 1, 'Gemcitabine': 1, 'Albendazole': 1, 'Gadoversetamide': 1, 'Fluorouracil': 3, 'Gadoteridol': 1, 'Furosemide': 1, 'Gadobenic acid': 1, 'Irinotecan': 1, 'Clidinium': 1, 'Propantheline': 1, 'Prednisolone': 1, 'Tacrolimus': 2, 'Etacrynic acid': 1, 'Tinidazole': 1, 'Felbamate': 1, 'Orlistat': 1, 'Gemfibrozil': 1, 'Bismuth Subsalicylate': 1, 'Cefazolin': 1, 'Magnesium oxide': 1, 'Antipyrine': 1, 'Attapulgite': 1, 'Kaolin': 1, 'Alverine': 1, 'Terlipressin': 1, 'Cholic Acid': 1, 'Acetylcholine': 1, 'Oteracil': 1, 'Vapreotide': 1, 'Defibrotide': 1, 'Hepatitis B Immune Globulin': 1, 'Obeticholic acid': 1, 'Icatibant': 1, 'Ammonium chloride': 1, 'Mangafodipir': 2, 'Gadoxetic acid': 1, 'Sofosbuvir': 1, 'Ledipasvir': 1, 'Ibrutinib': 1, 'Magnesium hydroxide': 1, 'Colfosceril palmitate': 1, 'Iothalamic acid': 2, 'Sodium Chloride': 1, 'Sodium Citrate': 1, 'Methylene blue': 1, 'Gimeracil': 1, 'Bismuth Subcitrate': 2, 'Kappadione': 1, 'Iopodic acid': 2, 'Indocyanine green acid form': 1, 'Technetium Tc-99m sulfur colloid': 1, 'Urea C-13': 1, 'Simethicone': 1, 'Urea C-14': 1, 'Hepatitis A Vaccine': 1, 'Sulfur hexafluoride': 1, 'Pectin': 1, 'Magnesium Aluminum Silicate': 1, 'Gelatin': 1, 'Asunaprevir': 1, 'Hepatitis B Vaccine (Recombinant)': 1, 'Ertugliflozin': 1, 'Avatrombopag': 1, 'Almasilate': 1, 'Magnesium gluconate': 1, 'Glycyrrhizic acid': 1, 'Human cytomegalovirus immune globulin': 2, 'Remestemcel-L': 1, 'Dimethicone 410': 1, 'Raltitrexed': 1, 'Oxaliplatin': 1, 'Benzocaine': 1}"
