,Trajectory,Disease list,Drug Indications
10,23,"{'G25', 'G40', 'I47', 'G41', 'F79', 'E88', 'J96'}","{'Ioflupane I-123': 1, 'Piracetam': 1, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2, 'Indecainide': 1, 'Disopyramide': 1, 'Mexiletine': 1, 'Phenylephrine': 2, 'Adenosine': 2, 'Pindolol': 1, 'Tocainide': 1, 'Amiodarone': 1, 'Bretylium': 1, 'Propafenone': 1, 'Flecainide': 2, 'Encainide': 1, 'Bopindolol': 1, 'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Melatonin': 1, 'D-glucose': 1, 'Glucose': 1, 'Nitric Oxide': 1}"
11,27,"{'G41', 'G40', 'G47'}","{'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2, 'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2}"
12,31_137,"{'H52', 'H50'}","{'Verteporfin': 1, 'Botulinum Toxin Type A': 1}"
13,39,"{'K21', 'K29'}","{'Bismuth Subcitrate': 3, 'Isopropamide': 1}"
14,51_181_282_362,"{'D43', 'C71'}","{'Pregabalin': 1, 'Etidronic acid': 1, 'Tolperisone': 1, 'Propiverine': 1, 'Phenytoin': 1, 'Metrizamide': 1}"
15,54,"{'F17', 'E87', 'F10'}","{'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Molindone': 2, 'Aripiprazole lauroxil': 2, 'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1}"
16,55,"{'F11', 'F19', 'F13'}","{'Ziprasidone': 3, 'Olanzapine': 3, 'Loxapine': 3, 'Prochlorperazine': 3, 'Fluphenazine': 3, 'Perphenazine': 3, 'Quetiapine': 3, 'Aripiprazole': 3, 'Chlorprothixene': 3, 'Molindone': 3, 'Aripiprazole lauroxil': 3}"
17,56,"{'F32', 'F41'}","{'Imipramine': 2, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Lorazepam': 1, 'Butabarbital': 1, 'Meprobamate': 1, 'Chlordiazepoxide': 1, 'Buspirone': 1, 'Clorazepate': 1, 'Halazepam': 1, 'Diazepam': 1, 'Trifluoperazine': 1, 'Oxazepam': 1, 'Desipramine': 1, 'Clotiazepam': 1, 'Fludiazepam': 1, 'Prazepam': 1, 'Cinolazepam': 1}"
18,57,"{'F17', 'E87', 'F12', 'F10', 'F63', 'F20'}","{'Ziprasidone': 5, 'Olanzapine': 5, 'Loxapine': 5, 'Prochlorperazine': 3, 'Fluphenazine': 3, 'Perphenazine': 3, 'Quetiapine': 5, 'Aripiprazole': 5, 'Chlorprothixene': 5, 'Molindone': 3, 'Aripiprazole lauroxil': 5, 'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1, 'Clomipramine': 3, 'Glutamic Acid': 2, 'Clozapine': 2, 'Sulpiride': 2, 'Remoxipride': 2, 'Imipramine': 2, 'Chlorpromazine': 2, 'Haloperidol': 2, 'Thioridazine': 2, 'Risperidone': 2, 'Flupentixol': 2, 'Mesoridazine': 2, 'Paliperidone': 2, 'Methotrimeprazine': 2, 'Thioproperazine': 2, 'Thiothixene': 2, 'Zuclopenthixol': 2, 'Prasterone': 2, 'Fluspirilene': 2, 'Iloperidone': 2, 'Pimavanserin': 2, 'Cariprazine': 2, 'Sertindole': 2, 'Asenapine': 2, 'Amisulpride': 2, 'Armodafinil': 2, 'Lurasidone': 2, 'Perospirone': 2, 'Brexpiprazole': 2, 'Blonanserin': 2, 'Melperone': 2, 'Zotepine': 2}"
19,72,"{'N19', 'N18'}","{'Calcitriol': 3, 'Calcidiol': 3, 'Cholecalciferol': 3, 'Mannitol': 1, 'Dopamine': 1, 'Dalteparin': 1, 'L-Carnitine': 1, 'Icodextrin': 1}"
