icd_1,icd_2,ji
I99,F52,0.0
I99,G12,0.0
I99,G98,0.0
I99,G60,0.0
I99,H57,0.0
I99,F09,0.0
I99,M46,0.0
B34,K02,0.01680672268907563
B34,F51,0.0
B34,C75,0.0
B34,F52,0.0
B34,G12,0.0
B34,G98,0.0
C75,K02,0.0
C75,F51,0.0
C75,F52,0.0
C75,G12,0.0
C75,G98,0.0
F51,J30,0.0
F51,K02,0.0
F51,G47,0.046875
F51,K04,0.0
F51,K08,0.0
F51,F32,0.0
F51,B37,0.0
F51,F48,0.01020408163265306
F51,F52,0.0
F51,G12,0.0
F51,G98,0.1
F52,K02,0.0
F52,G12,0.0
F52,G98,0.0
G12,K02,0.0
G12,G98,0.046511627906976744
G98,K02,0.0
K02,F41,0.00398406374501992
K02,K05,0.006896551724137931
K02,K10,0.0
K02,L03,0.0
K02,K04,0.0
K02,K08,0.0
K02,K12,0.007352941176470588
K02,K07,0.007246376811594203
K02,K09,0.0
K02,F32,0.0
K02,F48,0.008733624454148471
K02,B37,0.0
K02,G20,0.022727272727272728
K02,G35,0.02316076294277929
K02,N48,0.0
H73,K92,0.0
K92,D62,0.0
D62,K21,0.0
D62,K70,0.0
D62,K25,0.0
D62,K26,0.0
D62,F05,0.0
D62,K20,0.0
D62,D52,0.0
C91,N10,0.0
C91,C82,0.05102040816326531
C91,C83,0.16
C91,C85,0.1
C91,D72,0.011627906976744186
C91,D80,0.036585365853658534
N10,N13,0.0
N10,N28,0.0
N10,K51,0.0028653295128939827
N10,D73,0.0
N10,J04,0.0
N10,K29,0.0
N10,A69,0.0
N10,D16,0.0
N10,D21,0.0
N10,L50,0.0
N10,N62,0.0
N10,B25,0.0
N10,H10,0.0
N10,I13,0.0
N10,N05,0.0
N10,N43,0.0
N10,D29,0.0
N10,N02,0.009174311926605505
N10,N40,0.0
N10,N41,0.0
N10,N42,0.0
B37,C71,0.0
B37,C79,0.0
B37,D70,0.0
B37,K04,0.0
B37,K08,0.0
B37,J40,0.0
B37,D43,0.0
B37,F32,0.0
B37,J93,0.0
B37,J18,0.0
B37,L72,0.0
B37,J86,0.0
B37,F48,0.0
B37,C34,0.010869565217391304
B37,C38,0.0
B37,J82,0.0
