symbol1,symbol2
EPAS1,BBS1
EPAS1,JUN
EPAS1,CREBBP
EPAS1,PRKD1
EPAS1,BATF
EPAS1,RBM4
EPAS1,MYBL2
EPAS1,KPNB1
EPAS1,MED1
EPAS1,MED24
EPAS1,SMARCA2
EPAS1,SMARCA4
EPAS1,IKBKB
EPAS1,STAT5A
EPAS1,ELK1
EPAS1,TPR
EPAS1,ARID1B
EPAS1,USF2
EPAS1,PSMD1
EPAS1,PKM
EPAS1,XPO1
EPAS1,NEDD8
EPAS1,MED8
EPAS1,NPM1
EPAS1,WRNIP1
EPAS1,PHB2
EPAS1,DROSHA
EPAS1,MED23
EPAS1,CTNNB1
EPAS1,SIRT1
EPAS1,USP8
EPAS1,HSPA9
EPAS1,MED17
EPAS1,HIF3A
EPAS1,F12
EPAS1,FLNB
EPAS1,MED14
EPAS1,MED12
EPAS1,MED26
EPAS1,FBP1
EPAS1,NR3C1
EPAS1,GTF3C3
EPAS1,TRIM25
EPAS1,ELP1
EPAS1,ELAVL1
EPAS1,ESR1
EPAS1,MCM3
EPAS1,MED15
EPAS1,TERF2IP
EPAS1,EGLN2
EPAS1,EGLN1
EPAS1,NET1
EPAS1,MCM7
EPAS1,STUB1
EPAS1,CNOT1
EPAS1,NCAPD3
EPAS1,MITF
EPAS1,TRIM33
EPAS1,YTHDF2
EPAS1,CNOT10
EPAS1,DBP
EPAS1,MED16
EPAS1,DNAJA2
EPAS1,DCAF7
EPAS1,BCL7C
EPAS1,MED7
EPAS1,MED27
EPAS1,ETS1
EPAS1,LAMP1
EPAS1,EIF4A1
DDIT3,LNX1
DDIT3,FOSL2
DDIT3,TXN2
DDIT3,CSNK2A1
DDIT3,474344
DDIT3,VPS37C
DDIT3,MCMBP
DDIT3,CRACR2A
DDIT3,HSD17B14
DDIT3,CREBL2
DDIT3,BATF3
DDIT3,JDP2
DDIT3,EMSY
DDIT3,TXNDC2
DDIT3,TNFSF12
DDIT3,HLF
DDIT3,FOS
DDIT3,MAPK14
DDIT3,CSNK2A2
DDIT3,MAPK1
DDIT3,JUN
DDIT3,CEBPE
DDIT3,CEBPB
DDIT3,RPS3A
DDIT3,LMO2
DDIT3,MAPK13
DDIT3,ATF4
DDIT3,TRIB3
DDIT3,HOXA5
DDIT3,ZBTB25
DDIT3,MAPK11
DDIT3,AMOTL2
DDIT3,TEF
DDIT3,MAPKAPK2
DDIT3,SSX3
DDIT3,CCDC153
DDIT3,RAI1
DDIT3,SNAPC5
DDIT3,FOSL1
DDIT3,BATF
DDIT3,JUND
DDIT3,ZC3H14
DDIT3,RTL6
DDIT3,PICALM
DDIT3,TEDC1
DDIT3,ZSCAN31
DDIT3,SPOP
DDIT3,ATF3
DDIT3,MAFG
DDIT3,ATPAF2
DDIT3,HDAC1
DDIT3,DGCR2
DDIT3,CREBBP
DDIT3,EP300
DDIT3,JUNB
DDIT3,KPNA2
DDIT3,MAFF
DDIT3,CDK6
DDIT3,CUL3
DDIT3,F2
DDIT3,GP1BA
DDIT3,PPIB
DDIT3,HSPA5
DDIT3,GIPC1
DDIT3,FANCA
DDIT3,CUL1
DDIT3,MAPK12
DDIT3,IKBKG
DDIT3,HDAC6
DDIT3,COPS3
DDIT3,COPS7A
DDIT3,COPS8
DDIT3,KEAP1
DDIT3,PRKN
DDIT3,HDAC5
DDIT3,BACH1
DDIT3,BACH2
DDIT3,PCM1
DDIT3,CXCL8
DDIT3,DNMT3L
DDIT3,GABBR1
DDIT3,ATF7
DDIT3,GABBR2
DDIT3,BATF2
DDIT3,ATF2
DDIT3,CEBPA
DDIT3,DBP
DDIT3,POLR1D
DDIT3,SRA1
DDIT3,CEBPD
USP22,MTUS2
USP22,BAG4
USP22,NXF1
USP22,ATXN7L2
USP22,PACC1
USP22,KDM1A
USP22,RIC3
USP22,CDC23
USP22,FUBP1
USP22,ZBED1
USP22,FASN
USP22,TADA2A
USP22,ATXN7L3
USP22,AASDHPPT
USP22,TADA3
USP22,ATXN7
USP22,TAF5L
USP22,SGF29
USP22,TAF6L
USP22,MRPL10
USP22,TADA1
USP22,KAT2A
USP22,SUPT7L
USP22,SND1
USP22,PSME1
USP22,POFUT2
USP22,KIF7
USP22,CNOT10
USP22,HEXA
USP22,DEDD
USP22,ENY2
USP22,SCFD1
USP22,SUPT3H
USP22,SUPT20H
USP22,PREPL
USP22,TAF10
USP22,CNOT1
USP22,552889
USP22,TADA2B
USP22,TAF9
USP22,USP8
USP22,SIRT1
USP22,USP27X
USP22,EZH2
USP22,SUMO1
USP22,MYC
USP22,NPHP1
USP22,RNF123
USP22,NFATC2
USP22,H2BC21
USP22,MDM4
USP22,CD70
USP22,DPP4
USP22,CDC20
USP22,CCNB1
USP22,PTGS2
USP22,TAF9B
USP22,FLNB
USP22,FBP1
USP22,CD274
USP22,TRIM25
USP22,CD1B
USP22,STAT3
USP22,RCAN1
USP22,TMED2
USP22,LYPD3
USP22,H2AC20
USP22,BMI1
USP22,MRPL44
USP22,C3AR1
USP22,OFD1
USP22,NT5E
USP22,UNC5CL
USP22,MOV10
USP22,MINDY2
USP22,CDK1
USP22,STING1
USP22,RNF19B
USP22,LRRN2
USP22,ENPP6
USP22,LDLRAD4
CREB3L2,ZNF212
CREB3L2,RND1
CREB3L2,PTP4A1
CREB3L2,RGS16
CREB3L2,PXN
CREB3L2,HNRNPL
CREB3L2,GULP1
CREB3L2,TRIM25
CREB3L2,ELAVL1
CREB3L2,GAS7
CREB3L2,CEP19
CREB3L2,GCFC2
UHRF1BP1,DEF8
UHRF1BP1,UQCC2
UHRF1BP1,CEP76
UHRF1BP1,SGTB
UHRF1BP1,TSG101
UHRF1BP1,STK16
UHRF1BP1,HMG20A
UHRF1BP1,CBY1
UHRF1BP1,PCNA
UHRF1BP1,BAG6
UHRF1BP1,RAB30
UHRF1BP1,H2BC9
UHRF1BP1,POLE
UHRF1BP1,RAPGEF2
UHRF1BP1,SYNCRIP
UHRF1BP1,JUN
UHRF1BP1,USP11
UHRF1BP1,HNRNPD
UHRF1BP1,EPB41L5
UHRF1BP1,HMGA1
UHRF1BP1,H1-2
UHRF1BP1,TGOLN2
UHRF1BP1,NEDD1
UHRF1BP1,UHRF1
UHRF1BP1,GDAP2
UHRF1BP1,FOXK2
UHRF1BP1,RFXANK
UHRF1BP1,FOXK1
UHRF1BP1,FAM131B
UHRF1BP1,ZNF644
UHRF1BP1,LINC01587
CD99L2,SGTB
CD99L2,SGTA
CD99L2,MKNK2
CD99L2,ATM
CD99L2,KLC3
CD99L2,CAPN1
CD99L2,TMEM216
CD99L2,KIF2A
CD99L2,POLK
CD99L2,CEP170P1
CD99L2,DNAJC11
CD99L2,LLGL2
CD99L2,VPS26A
CD99L2,CDCA5
CD99L2,KIF21A
CD99L2,FAN1
CD99L2,ARX
PVR,HOXA1
PVR,KRTAP10-8
PVR,CYSRT1
PVR,KRTAP3-3
PVR,KRTAP6-3
PVR,KRTAP1-1
PVR,KRTAP1-3
PVR,KRTAP9-3
PVR,MFSD11
PVR,GPRC5D
PVR,TMEM54
PVR,SLC41A2
PVR,SNAP47
PVR,CYB561A3
PVR,EDDM3B
PVR,CYHR1
PVR,CD47
PVR,SYS1
PVR,TAS2R19
PVR,KRTAP3-1
PVR,ENSG00000264343
PVR,ENSG00000271383
PVR,KRTAP10-3
PVR,NECTIN3
PVR,VTN
PVR,DYNLT1
PVR,KRTAP10-7
PVR,TJP1
PVR,NOTCH2NLA
PVR,KRTAP10-9
PVR,CDH1
PVR,CD226
PVR,AP1M2
PVR,DYNLT3
PVR,NECTIN1
PVR,ATR
PVR,CD96
PVR,TIGIT
PVR,WNK1
PVR,PLA2G3
PVR,ELAVL1
PVR,ZC3HAV1
PVR,TNFRSF12A
PVR,XPO6
PVR,RNF4
PVR,MTCH2
PVR,METAP2
PVR,C4A
PVR,HELLS
PVR,LRBA
PVR,GPD2
PVR,UBE2C
PVR,CDON
PVR,440138
PVR,CISD2
PVR,EFNB1
PVR,GNA13
PVR,PPM1B
PVR,RETREG2
PVR,NLRX1
PVR,ALG5
PVR,RYK
PVR,STAT3
PVR,RAB5B
PVR,QSOX1
PVR,RFC3
PVR,XPO5
PVR,PI4K2A
PVR,LANCL2
PVR,TNFSF9
PVR,GNPAT
PVR,USP30
PVR,FBXL20
PVR,HNRNPL
PVR,MMS22L
PVR,TRIM25
PVR,LAMP1
COQ9,ACSF2
COQ9,EHHADH
COQ9,ALDH18A1
COQ9,COQ8A
COQ9,PLSCR2
COQ9,ACTL6B
COQ9,ANO8
COQ9,RHOT2
COQ9,SPART
COQ9,ABCD3
COQ9,HK2
COQ9,POLDIP2
COQ9,RAB32
COQ9,C1QBP
COQ9,FECH
COQ9,ABCB7
COQ9,CLPB
COQ9,SNAP29
COQ9,UQCRC2
COQ9,ACACA
COQ9,SUCLA2
COQ9,TIMM44
COQ9,SLC16A1
COQ9,COX5A
COQ9,FKBP8
COQ9,BAX
COQ9,PTRH2
COQ9,PEX11B
COQ9,PMPCA
COQ9,CLPX
COQ9,CLNK
COQ9,NDUFS7
COQ9,CYCS
COQ9,PMPCB
COQ9,NDUFAF3
COQ9,SHMT2
COQ9,RTN4IP1
COQ9,PTGES2
COQ9,CYB5R3
COQ9,GNG5
COQ9,NDUFA13
COQ9,MTX1
COQ9,TIMM50
COQ9,TOMM40
COQ9,ARF1
COQ9,DHCR24
COQ9,SLC25A10
COQ9,MGST1
COQ9,ACADVL
COQ9,MAOA
COQ9,ATP5F1C
COQ9,PPOX
COQ9,SLC25A11
COQ9,NRDC
COQ9,CPT1A
COQ9,NDUFB1
COQ9,SLC25A6
COQ9,ECH1
COQ9,NDUFA5
COQ9,MAVS
COQ9,SLC25A3
COQ9,STOML2
COQ9,CYB5R1
COQ9,COX6C
COQ9,AGK
COQ9,TBRG4
COQ9,COQ6
COQ9,FUNDC2
COQ9,NIPSNAP1
COQ9,RAB35
COQ9,BCS1L
COQ9,MTRES1
COQ9,PAM16
COQ9,AFG3L2
COQ9,TMEM70
COQ9,MOV10
COQ9,ROMO1
COQ9,PTPMT1
COQ9,SCO2
COQ9,PRORP
COQ9,EMC2
COQ9,NFS1
COQ9,COQ8B
COQ9,ATP5PD
COQ9,MICU1
COQ9,ECI2
COQ9,COQ7
COQ9,COQ4
COQ9,COMTD1
COQ9,ACAA1
COQ9,MTCH2
COQ9,NNT
COQ9,SFXN4
COQ9,SCCPDH
COQ9,COX19
COQ9,LYRM7
COQ9,L2HGDH
COQ9,DCAKD
COQ9,CCDC51
COQ9,ACSL5
COQ9,MRPL46
COQ9,COQ3
COQ9,TRIAP1
COQ9,GLRX5
COQ9,ERAL1
COQ9,CHCHD2
COQ9,RDH11
COQ9,DNAJC19
COQ9,GOLPH3
COQ9,NT5DC2
COQ9,DHRS7B
COQ9,HEBP1
COQ9,MPC2
COQ9,TAMM41
COQ9,COA3
COQ9,RAB24
COQ9,MAIP1
COQ9,TIMM21
COQ9,NDUFAF4
COQ9,NDUFAF2
COQ9,RAB5IF
COQ9,CISD1
COQ9,COQ5
COQ9,HINT3
COQ9,SLC25A24
COQ9,ATP5PF
COQ9,ATP5ME
COQ9,ATP5PB
COQ9,ATP5F1E
COQ9,ATP5PO
COQ9,BDH1
COQ9,SFXN1
COQ9,RHOT1
COQ9,TARS2
COQ9,CHDH
COQ9,ATAD3A
COQ9,ETFDH
COQ9,ACSL1
COQ9,ACSL4
COQ9,SQOR
COQ9,COX6A1
COQ9,COX11
COQ9,COX15
COQ9,COX7A2
COQ9,C15orf48
COQ9,CPT2
COQ9,ARMC10
COQ9,HSDL1
COQ9,GSTK1
COQ9,IDE
COQ9,SDR39U1
COQ9,CMC2
COQ9,HCCS
COQ9,NIPSNAP2
COQ9,TMEM205
COQ9,GLS
COQ9,RDH14
COQ9,NCEH1
COQ9,NDUFA8
COQ9,NDUFS8
COQ9,NDUFS3
COQ9,NDUFS2
COQ9,NDUFS1
COQ9,OPA1
COQ9,LETM1
COQ9,CISD2
COQ9,OXA1L
COQ9,RDH13
COQ9,PRXL2A
COQ9,HSDL2
COQ9,ATAD1
COQ9,ATP5MK
COQ9,SDHD
COQ9,SDHB
COQ9,SLC25A1
COQ9,PPM1K
COQ9,NDUFAF8
COQ9,COX6B1
COQ9,MICOS13
COQ9,ATAD3B
COQ9,ADCK5
COQ9,BOLA3
CYB5R3,CERS4
CYB5R3,AQP6
CYB5R3,HSD17B13
CYB5R3,SLC10A1
CYB5R3,STOM
CYB5R3,GPR152
CYB5R3,SLC10A6
CYB5R3,REEP4
CYB5R3,TMEM31
CYB5R3,ELOVL4
CYB5R3,TMEM201
CYB5R3,MFSD6
CYB5R3,LRCH4
CYB5R3,TMEM115
CYB5R3,LAPTM5
CYB5R3,GRM2
CYB5R3,FUNDC2
CYB5R3,PRKAB1
CYB5R3,CYB5A
CYB5R3,CYCS
CYB5R3,HBG2
CYB5R3,SPP1
CYB5R3,ENO1
CYB5R3,NIT1
CYB5R3,CANX
CYB5R3,RPS7
CYB5R3,KSR2
CYB5R3,PDHA1
CYB5R3,CYP1A1
CYB5R3,CDK2
CYB5R3,CNTRL
CYB5R3,ACTL6A
CYB5R3,RTN4
CYB5R3,NXF1
CYB5R3,PRKN
CYB5R3,RNF4
CYB5R3,RTN1
CYB5R3,NCAPG
CYB5R3,SLC1A5
CYB5R3,SDHA
CYB5R3,HSPA1L
CYB5R3,TSPAN5
CYB5R3,MOV10
CYB5R3,HOXB5
CYB5R3,RNF26
CYB5R3,CPVL
CYB5R3,TCTN2
CYB5R3,TCTN3
CYB5R3,STIL
CYB5R3,SCLT1
CYB5R3,ATP5PB
CYB5R3,CEP290
CYB5R3,TMEM17
CYB5R3,400916
CYB5R3,GML
CYB5R3,NDUFS3
CYB5R3,AMTN
CYB5R3,C15orf48
CYB5R3,USP47
CYB5R3,TSPAN11
CYB5R3,OCIAD1
CYB5R3,ZNF598
CYB5R3,NDUFA4
CYB5R3,SNRNP27
CYB5R3,SLC37A3
CYB5R3,FAM136A
CYB5R3,MRPS11
CYB5R3,NDUFAF8
CYB5R3,CHCHD2
CYB5R3,COX6B1
CYB5R3,OPA3
CYB5R3,CEP170
CYB5R3,NDUFAF4
CYB5R3,GPAM
CYB5R3,HSCB
GPRC5D,EMP1
GPRC5D,LRRC25
GPRC5D,APOL3
GPRC5D,SLC66A1
GPRC5D,CCL4
GPRC5D,YIPF1
GPRC5D,SYNDIG1
GPRC5D,MS4A6A
GPRC5D,IFITM3
GPRC5D,OSMR
GPRC5D,PRRT2
GPRC5D,FXYD6-FXYD2
GPRC5D,SEC63
GPRC5D,VPS45
RNF8,KRTAP10-1
RNF8,MAD1L1
RNF8,PSMB1
RNF8,CALCOCO1
RNF8,EPN3
RNF8,DNTTIP2
RNF8,EPN2
RNF8,DNM2
RNF8,MAPK1
RNF8,PICK1
RNF8,SEPTIN3
RNF8,RBFOX2
RNF8,WASL
RNF8,ZNF346
RNF8,AMOTL2
RNF8,CEP85
RNF8,UBE2D2
RNF8,STX11
RNF8,SH3GL3
RNF8,LMO4
RNF8,TNIP1
RNF8,CCDC50
RNF8,C2CD6
RNF8,ENSG00000158301
RNF8,PCYT1A
RNF8,ZNF496
RNF8,PGRMC2
RNF8,CEP44
RNF8,SCN3B
RNF8,CCDC14
RNF8,CLK2
RNF8,CLK3
RNF8,FSD2
RNF8,KIF24
RNF8,KRTAP9-8
RNF8,KRTAP10-8
RNF8,TOMM20L
RNF8,ZBTB10
RNF8,HOMEZ
RNF8,ENSG00000239886
RNF8,PNMA2
RNF8,RXRA
RNF8,ATM
RNF8,UBE2E1
RNF8,UBE2W
RNF8,BRCA1
RNF8,VCP
RNF8,ORC2
RNF8,UBE2E4P
RNF8,H2AX
RNF8,NBN
RNF8,CCDC85B
RNF8,UBE2N
RNF8,MCPH1
RNF8,UBE2E3
RNF8,EXOSC2
RNF8,TP53BP1
RNF8,UBE2E2
RNF8,MDC1
RNF8,PRKDC
RNF8,TWIST1
RNF8,PCNA
RNF8,IKBKB
RNF8,TNFRSF1A
RNF8,TPR
RNF8,TRIM29
RNF8,BLM
RNF8,H2BC21
RNF8,JMJD1C
RNF8,MGMT
RNF8,CHD4
RNF8,KDM4A
RNF8,UBE2V2
RNF8,MDM2
RNF8,HERC2
RNF8,UBB
RNF8,UBE2D1
RNF8,XRCC5
RNF8,CHEK2
RNF8,RNF144B
RNF8,H2AC20
RNF8,YEATS4
RNF8,RAD50
RNF8,MRE11
RNF8,SEPTIN7
RNF8,RPSA
RNF8,SEPTIN8
RNF8,BCL10
RNF8,NEDD8
RNF8,USP16
RNF8,VRK1
RNF8,WRAP53
RNF8,UBE2S
RNF8,TRIM25
RNF8,MAGED1
RNF8,PIWIL1
RNF8,BARD1
RNF8,POLD4
RNF8,CHUK
RNF8,SUMO3
RNF8,FOXM1
RNF8,DYRK2
RNF8,H3-3A
RNF8,H2BC3
RNF8,ERCC1
RNF8,ERCC4
RNF8,PRPF19
RNF8,RUVBL2
PELI2,MEOX1
PELI2,MDFI
PELI2,RABEP1
PELI2,HYAL2
PELI2,TP63
PELI2,SEPTIN3
PELI2,SP4
PELI2,TRIM32
PELI2,RMDN3
PELI2,REL
PELI2,LZTFL1
PELI2,CLEC17A
PELI2,OR7D2
PELI2,NUP62
PELI2,PCGF2
PELI2,UBQLN4
PELI2,IRAK1
PELI2,BCL10
PELI2,UBC
PELI2,IRAK2
PELI2,IRAK4
PELI2,MYD88
PELI2,HNRNPK
PELI2,UBE2N
PELI2,PICALM
PELI2,HNRNPL
PELI2,TRAF6
PELI2,SRPK1
PELI2,FN1
PELI2,LTBP3
PELI2,LAMC3
PELI2,DEAF1
PELI2,FRYL
PELI2,THAP7
PELI2,ERO1A
PELI2,NR2C2
PELI2,UQCRFS1
CPLX4,ATP6V0C
CPLX4,TF
CPLX4,CACNG1
CPLX4,GAD2
CPLX4,TMEM267
CPLX4,GRM2
CPLX4,HACD1
CPLX4,TMEM201
CPLX4,STX1A
CPLX4,CPLX1
CPLX4,SNAP25
CPLX4,CPLX3
CPLX4,MAPK3
CPLX4,SPTB
CPLX4,CBX5
CPLX4,ACTA2
CPLX4,MICU2
CPLX4,EFHD1
CPLX4,CST1
CPLX4,IPPK
FNDC9,ATXN1
FNDC9,SERP2
FNDC9,TREX1
FNDC9,CLEC2D
FNDC9,PROKR2
FNDC9,NKG7
FNDC9,MOSPD3
FNDC9,GCNT2
FNDC9,GALNT15
FNDC9,ITM2C
FNDC9,SLC41A2
FNDC9,CNIH3
FNDC9,ST6GAL2
FNDC9,KRTCAP3
FNDC9,EXTL1
FNDC9,CLDN1
FNDC9,TMEM182
FNDC9,EDDM3B
FNDC9,DEFB132
FNDC9,C1QL4
FNDC9,CLRN2
FNDC9,SMIM3
ZCCHC12,ATP6V0C
ZCCHC12,KPNA3
ZCCHC12,LMO1
ZCCHC12,MCRS1
ZCCHC12,ABHD5
ZCCHC12,UBE2I
ZCCHC12,RNF40
ZCCHC12,STX2
ZCCHC12,CD207
ZCCHC12,FADD
ZCCHC12,PNMA1
ZCCHC12,SUMO3
ZCCHC12,TADA2A
ZCCHC12,SUMO1
ZCCHC12,TFCP2
ZCCHC12,APPBP2
ZCCHC12,MAGEA11
ZCCHC12,SMAD1
ZCCHC12,CREBBP
ZCCHC12,SPOP
ZCCHC12,MX1
ZCCHC12,PGK2
TMPRSS2,C2CD2L
TMPRSS2,EDDM3B
TMPRSS2,MOSPD3
TMPRSS2,CNIH3
TMPRSS2,ENSG00000176797
TMPRSS2,ENSG00000177243
TMPRSS2,PTTG1IP
TMPRSS2,C1QL4
TMPRSS2,CLK1
TMPRSS2,HNRNPL
ABO,GRAMD2B
ABO,HECW2
SLN,CAMK2A
SLN,KASH5
SLN,SYNE4
SLN,ATP2A2
SLN,ATP2A1
FLOT2,FYN
FLOT2,LNX1
FLOT2,HGS
FLOT2,ESR2
FLOT2,RNF4
FLOT2,SGTB
FLOT2,SPATA24
FLOT2,TFG
FLOT2,MAGEB4
FLOT2,FLOT1
FLOT2,NMNAT1
FLOT2,VAPA
FLOT2,MMGT1
FLOT2,MVP
FLOT2,NKX2-5
FLOT2,MYEF2
FLOT2,PLEKHA7
FLOT2,ACTB
FLOT2,CAVIN1
FLOT2,GORASP2
FLOT2,TMEM17
FLOT2,ATP6AP2
FLOT2,PTPN1
FLOT2,ECPAS
FLOT2,U2AF2
FLOT2,RAB2A
FLOT2,RARA
FLOT2,FLNA
FLOT2,SLC4A1
FLOT2,MPC2
FLOT2,UBE2A
FLOT2,CAV2
FLOT2,CHMP1B
FLOT2,GNG12
FLOT2,MAVS
FLOT2,TBC1D15
FLOT2,ANXA1
FLOT2,SLC26A6
FLOT2,DEGS1
FLOT2,CHMP4B
FLOT2,LAMP1
FLOT2,UBD
FLOT2,SYNPO
FLOT2,PKD1
FLOT2,CTNNB1
FLOT2,CFTR
FLOT2,CAV1
FLOT2,MME
FLOT2,CDH1
FLOT2,DXO
FLOT2,CD44
FLOT2,PRKCD
FLOT2,RAB7A
FLOT2,GNAQ
FLOT2,SELPLG
FLOT2,ARNT
FLOT2,F2R
FLOT2,VDAC1
FLOT2,ABCE1
FLOT2,VDAC2
FLOT2,FN1
FLOT2,EGFR
FLOT2,TNIP2
FLOT2,ATP6V1B1
FLOT2,EED
FLOT2,ATP2B4
FLOT2,MYO6
FLOT2,CUL7
FLOT2,SVIL
FLOT2,PTRH2
FLOT2,BMPR1A
FLOT2,BACE1
FLOT2,SSR1
FLOT2,ROCK2
FLOT2,EEF2
FLOT2,TGOLN2
FLOT2,EEF1G
FLOT2,RAB5C
FLOT2,TARDBP
FLOT2,TOMM40
FLOT2,DLST
FLOT2,SLC25A5
FLOT2,PPIE
FLOT2,LIMA1
FLOT2,ALDOA
FLOT2,CYC1
FLOT2,DBN1
FLOT2,HNRNPUL2
FLOT2,ERLIN2
FLOT2,UQCC3
FLOT2,MRPS14
FLOT2,UQCRFS1P1
FLOT2,LAMP3
FLOT2,OBSL1
FLOT2,CCDC8
FLOT2,TMEM185A
FLOT2,MPZL3
FLOT2,ABCB6
FLOT2,MYO19
FLOT2,TMEM63B
FLOT2,COX15
FLOT2,SOAT1
FLOT2,KIF18B
GCNT2,HLA-DPB1
GCNT2,TRIM68
GCNT2,ATP2A1
GCNT2,PRKN
GCNT2,TRIM25
GCNT2,COL14A1
FAIM2,EPN2
FAIM2,FAS
FAIM2,STK11
FAIM2,TRIM21
GRINA,GPX8
GRINA,TIAL1
GRINA,KRTAP6-2
GRINA,KRTAP19-5
GRINA,FMO1
GRINA,DRD2
GRINA,GLP1R
NOTCH3,FBLN1
NOTCH3,NEDD9
NOTCH3,ESR2
NOTCH3,EGFL7
NOTCH3,PSMA1
NOTCH3,DVL3
NOTCH3,729233
NOTCH3,PRR20A
NOTCH3,729246
NOTCH3,729240
NOTCH3,729250
NOTCH3,CSNK2B
NOTCH3,SORBS3
NOTCH3,ZNF408
NOTCH3,WDR25
NOTCH3,ZFP41
NOTCH3,ABL1
NOTCH3,LRRIQ1
NOTCH3,SNW1
NOTCH3,EGLN3
NOTCH3,ANKRD28
NOTCH3,MPPED2
NOTCH3,WWP2
NOTCH3,CBFA2T2
NOTCH3,DEFA1
NOTCH3,NEU2
NOTCH3,NCK1
NOTCH3,PAK1
NOTCH3,KAT2B
NOTCH3,NOTCH1
NOTCH3,PSEN2
NOTCH3,MAML1
NOTCH3,PSEN1
NOTCH3,DLL1
NOTCH3,MAML3
NOTCH3,JAG2
NOTCH3,JAG1
NOTCH3,RBPJ
NOTCH3,MAML2
NOTCH3,DLL4
NOTCH3,GSK3B
NOTCH3,NTRK1
NOTCH3,IFNGR1
NOTCH3,CDH1
NOTCH3,NUMB
NOTCH3,MYC
NOTCH3,LRP1
NOTCH3,HNRNPL
NOTCH3,CASR
NOTCH3,TNNT2
NOTCH3,RABGGTB
NOTCH3,E2F3
NOTCH3,DVL2
NOTCH3,TPT1
NOTCH3,RET
NOTCH3,ADAM17
NOTCH3,NCSTN
NOTCH3,STRAP
NOTCH3,MFNG
NOTCH3,CHUK
NOTCH3,HIF1AN
NOTCH3,PPIA
NOTCH3,CRIP2
NOTCH3,XDH
NOTCH3,PTCRA
NOTCH3,HES1
NOTCH3,NUMBL
NOTCH3,DTX3L
NOTCH3,CPNE6
NOTCH3,BAG2
NOTCH3,SPTLC2
NOTCH3,C1QL1
NOTCH3,SCGB3A1
NOTCH3,BTF3L4
NOTCH3,TMEM108
NOTCH3,TSPAN3
NOTCH3,SLC39A1
NOTCH3,RMI2
NOTCH3,ANKRD44
NOTCH3,XKR8
NOTCH3,C8orf76
NOTCH3,SNX19
NOTCH3,CNTD1
NOTCH3,ZNF224
NOTCH3,ABCG8
NOTCH3,SLC20A1
NOTCH3,MANSC1
NOTCH3,ADAM32
NOTCH3,DNAJC10
NOTCH3,DLK2
NOTCH3,KSR1
HOMER3,DVL3
HOMER3,MEOX1
HOMER3,NTAQ1
HOMER3,LNX1
HOMER3,CDC37
HOMER3,CDK18
HOMER3,MFAP1
HOMER3,GAS8
HOMER3,ENSG00000146112
HOMER3,CWF19L2
HOMER3,FAM90A1
HOMER3,PRR35
HOMER3,PPP1R32
HOMER3,HOXB5
HOMER3,KDM1A
HOMER3,PAX6
HOMER3,PAX7
HOMER3,LRRC7
HOMER3,USP2
HOMER3,TBC1D22B
HOMER3,FRYL
HOMER3,RBM22
HOMER3,DYNLL1
HOMER3,EIF3D
HOMER3,POLI
HOMER3,LHX2
HOMER3,ABI3
HOMER3,MDM1
HOMER3,PKN1
HOMER3,TOX2
HOMER3,PSMA1
HOMER3,PALLD
HOMER3,WBP2
HOMER3,KANK4
HOMER3,ZNF414
HOMER3,ABI1
HOMER3,SDCBP
HOMER3,ABI2
HOMER3,C4orf17
HOMER3,SNRPF
HOMER3,SLAIN1
HOMER3,FBXO28
HOMER3,EAF1
HOMER3,CCDC120
HOMER3,LSM14B
HOMER3,HOMER1
HOMER3,MIA3
HOMER3,SAXO1
HOMER3,FAM161B
HOMER3,ZNF19
HOMER3,ENSG00000163156
HOMER3,CCDC141
HOMER3,OTX2
HOMER3,MSS51
HOMER3,PLAAT5
HOMER3,ZNF35
HOMER3,SMR3B
HOMER3,MOS
HOMER3,ZBTB4
HOMER3,GGN
HOMER3,C1orf116
HOMER3,POM121
HOMER3,INCA1
HOMER3,KANK2
HOMER3,ZNF655
HOMER3,PSORS1C2
HOMER3,RBM14
HOMER3,KRTAP19-7
HOMER3,CCDC187
HOMER3,DYNLL2
HOMER3,WIPF1
HOMER3,TRIM27
HOMER3,CEBPB
HOMER3,RYR1
HOMER3,PPP1R18
HOMER3,NEBL
HOMER3,TRPC4
HOMER3,TRPC5
HOMER3,ITPR1
HOMER3,GRM5
HOMER3,FAT1
HOMER3,TRPC1
HOMER3,TP53
HOMER3,IKBKB
HOMER3,PSMC5
HOMER3,HOMER2
HOMER3,PSMA2
HOMER3,SRPK2
HOMER3,IFT57
HOMER3,PML
HOMER3,YWHAH
HOMER3,SOX17
HOMER3,DBN1
HOMER3,CYFIP2
HOMER3,IFIT2
HOMER3,TRIM25
HOMER3,HNRNPLL
HOMER3,PEX14
HOMER3,NUP54
HOMER3,EIF4E2
HOMER3,EFHC1
HOMER3,POLG2
HOMER3,PRCC
HOMER3,WASF2
HOMER3,PATJ
HOMER3,NCKAP1
HOMER3,PALS1
NUCB2,FFAR2
NUCB2,ASPH
NUCB2,NR1I2
NUCB2,STAT1
NUCB2,CASP8
NUCB2,CASP6
NUCB2,CASP3
NUCB2,CASP7
NUCB2,STAR
NUCB2,GNAI3
NUCB2,SMARCD1
NUCB2,JUNB
NUCB2,CLU
NUCB2,HNRNPL
NUCB2,SPTAN1
NUCB2,XPO1
NUCB2,NEDD8
NUCB2,NAE1
NUCB2,CUL2
