"value","Cluster_2","Cluster_1","Cluster1","Cluster2","effect"
1,310,302,"I21-40-49, I25-40-49, I42-40-49, I50-40-49, I20-50-59, I21-50-59, I24-50-59","E78-40-49, E79-40-49, G45-40-49, I20-40-49, I21-40-49, I44-40-49, I51-40-49, M41-40-49, E79-50-59, M41-50-59","Diverge"
1,304,302,"I21-40-49, I25-40-49, I42-40-49, I50-40-49, I20-50-59, I21-50-59, I24-50-59","I25-40-49, I42-40-49, I50-40-49, I42-50-59, I44-50-59, I50-50-59, I51-50-59, I42-60-69, I44-60-69, I44-70-79","Diverge"
1,466,465,"N80-50-59, N81-50-59, N84-50-59, N85-50-59, N88-50-59, N95-50-59, N80-60-69","N81-50-59, N81-60-69, N99-60-69","Diverge"
1,476,256,"D12-40-49, I84-40-49, K64-50-59","D12-40-49, D12-50-59, C18-60-69, C19-60-69, D12-60-69","Diverge"
1,524,362,"B02-50-59, D13-50-59, E78-50-59, E83-50-59, G51-50-59, G58-50-59, I07-50-59, I15-50-59, I71-50-59, I72-50-59, I72-60-69","I72-50-59, I67-60-69, I72-60-69, I67-70-79","Diverge"
1,581,387,"D17-50-59, D48-50-59, D17-60-69, D48-60-69, D17-70-79","D17-50-59, N84-60-69, N88-60-69","Diverge"
1,289,116,"E11-20-29, E66-20-29, G47-20-29, M51-20-29, E65-30-39, L02-30-39","M51-20-29, G55-30-39, M43-30-39, M48-30-39, M51-30-39, G54-40-49, G55-40-49, G57-40-49, M40-40-49, M51-40-49, M54-40-49, M96-40-49, G54-50-59, M96-50-59, M96-60-69","Diverge"
1,337,270,"E66-40-49, I89-40-49, K42-40-49, K43-40-49, M16-40-49, E65-50-59, K42-50-59, K43-50-59","M16-40-49, M16-50-59, M87-50-59","Diverge"
1,310,303,"I20-40-49, I21-40-49, I25-40-49, I42-40-49, I50-40-49, I20-50-59, I21-50-59, I24-50-59, I25-50-59, I42-50-59, I44-50-59, I50-50-59, I51-50-59","E78-40-49, E79-40-49, G45-40-49, I20-40-49, I21-40-49, I44-40-49, I51-40-49, M41-40-49, E79-50-59, M41-50-59","Diverge"
1,287,116,"E11-20-29, E66-20-29, G47-20-29, M51-20-29, E65-30-39, L02-30-39","M51-20-29, G55-30-39, M43-30-39, M48-30-39, M51-30-39, G55-40-49, G57-40-49, M51-40-49, M96-40-49","Diverge"
1,600,474,"M51-50-59, M96-50-59, A69-60-69, G54-60-69, G57-60-69, M96-60-69, G57-70-79","M96-50-59, G55-60-69, G95-60-69, M48-60-69, M50-60-69, M51-60-69, M96-60-69, G54-70-79, G55-70-79, G95-70-79, M47-70-79, M48-70-79, M50-70-79, M51-70-79, M54-70-79, M70-70-79, M93-70-79, M96-70-79","Diverge"
